QP,CP,Nat,Name,Statut,Details
1,1,ETH,Tigst ASSEFA,Qualified by Entry Standard,2:11:53 - Berlin (GER) - 24 SEP 2023
2,1,NED,Sifan HASSAN,Qualified by Entry Standard,"2:13:44 - Chicago, IL (USA) - 08 OCT 2023"
3,2,ETH,Amane Beriso SHANKULE,Qualified by Entry Standard,2:14:58 - Valencia (ESP) - 04 DEC 2022
4,1,KEN,Ruth CHEPNGETICH,Qualified by Entry Standard,"2:15:37 - Chicago, IL (USA) - 08 OCT 2023"
5,3,ETH,Worknesh DEGEFA,Qualified by Entry Standard,2:15:51 - Valencia (ESP) - 03 DEC 2023
,4,ETH,Sutume Asefa KEBEDE,Qualified by Entry Standard,2:15:55 - Tokyo (JPN) - 03 MAR 2024
,5,ETH,Tigist KETEMA,Qualified by Entry Standard,2:16:07 - Dubai (UAE) - 07 JAN 2024
6,2,KEN,Rosemary WANJIRU,Qualified by Entry Standard,2:16:14 - Tokyo (JPN) - 03 MAR 2024
,6,ETH,Almaz AYANA,Qualified by Entry Standard,2:16:22 - Valencia (ESP) - 03 DEC 2023
,7,ETH,Letesenbet GIDEY,Qualified by Entry Standard,2:16:49 - Valencia (ESP) - 04 DEC 2022
,8,ETH,Tsehay GEMECHU,Qualified by Entry Standard,2:16:56 - Tokyo (JPN) - 05 MAR 2023
,9,ETH,Megertu ALEMU,Qualified by Entry Standard,"2:17:09 - Chicago, IL (USA) - 08 OCT 2023"
7,3,KEN,Joyciline JEPKOSGEI,Qualified by Entry Standard,"2:17:23 - Chicago, IL (USA) - 08 OCT 2023"
,4,KEN,Sheila CHEPKIRUI,Qualified by Entry Standard,2:17:29 - Valencia (ESP) - 04 DEC 2022
,10,ETH,Tadu TESHOME,Qualified by Entry Standard,2:17:36 - Valencia (ESP) - 04 DEC 2022
,11,ETH,Hiwot GEBREKIDAN,Qualified by Entry Standard,2:17:59 - Valencia (ESP) - 03 DEC 2023
,12,ETH,Ruti AGA,Qualified by Entry Standard,2:18:09 - Dongying (CHN) - 22 OCT 2023
,5,KEN,Fancy CHEMUTAI,Qualified by Entry Standard,2:18:11 - Valencia (ESP) - 04 DEC 2022
,13,ETH,Meseret BELETE,Qualified by Entry Standard,2:18:21 - Amsterdam (NED) - 15 OCT 2023
,6,KEN,Peres JEPCHIRCHIR,Qualified by Entry Standard,2:18:38 - London (GBR) - 23 APR 2023
8,1,TAN,Magdalena SHAURI,Qualified by Entry Standard,2:18:41 - Berlin (GER) - 24 SEP 2023
,14,ETH,Tiruye MESFIN,Qualified by Entry Standard,2:18:47 - Valencia (ESP) - 04 DEC 2022
,15,ETH,Workenesh EDESA,Qualified by Entry Standard,2:18:51 - Osaka (JPN) - 28 JAN 2024
,16,ETH,Tigist GIRMA,Qualified by Entry Standard,2:18:52 - Valencia (ESP) - 04 DEC 2022
,17,ETH,Yalemzerf YEHUALAW,Qualified by Entry Standard,2:18:53 - London (GBR) - 23 APR 2023
9,1,JPN,Honami MAEDA,Qualified by Entry Standard,2:18:59 - Osaka (JPN) - 28 JAN 2024
,18,ETH,Zeineba YIMER,Qualified by Entry Standard,2:19:07 - Berlin (GER) - 24 SEP 2023
,19,ETH,Ashete BEKERE,Qualified by Entry Standard,2:19:11 - Tokyo (JPN) - 05 MAR 2023
,7,KEN,Brigid KOSGEI,Qualified by Entry Standard,2:19:15 - Abu Dhabi (UAE) - 16 DEC 2023
10,1,USA,Betsy SAINA,Qualified by Entry Standard,2:19:17 - Tokyo (JPN) - 03 MAR 2024
,20,ETH,Senbere TEFERI,Qualified by Entry Standard,2:19:21 - Berlin (GER) - 24 SEP 2023
11,2,JPN,Hitomi NIIYA,Qualified by Entry Standard,"2:19:24 - Houston, TX (USA) - 15 JAN 2023"
,21,ETH,Dera DIDA,Qualified by Entry Standard,2:19:24 - Berlin (GER) - 24 SEP 2023
,22,ETH,Buzunesh GETACHEW,Qualified by Entry Standard,2:19:27 - Frankfurt (GER) - 29 OCT 2023
,23,ETH,Rahma TUSA,Qualified by Entry Standard,"2:19:33 - Houston, TX (USA) - 14 JAN 2024"
,24,ETH,Helen BEKELE,Qualified by Entry Standard,2:19:44 - Berlin (GER) - 24 SEP 2023
,25,ETH,Meseret ABEBAYAHAU,Qualified by Entry Standard,2:19:50 - Amsterdam (NED) - 15 OCT 2023
,8,KEN,Vicoty CHEPNGENO,Qualified by Entry Standard,"2:19:55 - Houston, TX (USA) - 14 JAN 2024"
