Rank,meeting_name,country,Start Date,End Date,Participation Score,Result Score,Competition Score,Event URL
1,"Bank of America Chicago Marathon, Chicago, IL",USA,08 OCT 2023,08 OCT 2023,500,10179,10799,https://www.worldathletics.orgNot found
2,"TCS London Marathon, London",GBR,23 APR 2023,23 APR 2023,670,10040,10710,https://www.worldathletics.orgNot found
3,"BMW Berlin Marathon, Berlin",GER,24 SEP 2023,24 SEP 2023,275,10158,10553,https://www.worldathletics.orgNot found
4,"Maraton Valencia Trinidad Alfonso, Valencia",ESP,03 DEC 2023,03 DEC 2023,230,10150,10380,https://www.worldathletics.orgNot found
5,"B.A.A. Boston Marathon, Boston, MA",USA,17 APR 2023,17 APR 2023,620,9598,10218,https://www.worldathletics.orgNot found
6,"Tokyo Marathon, Tokyo",JPN,05 MAR 2023,05 MAR 2023,220,9959,10179,https://www.worldathletics.orgNot found
7,"TCS Amsterdam Marathon, Amsterdam",NED,15 OCT 2023,15 OCT 2023,110,9958,10068,https://www.worldathletics.orgNot found
8,"NN Marathon Rotterdam, Rotterdam",NED,16 APR 2023,16 APR 2023,210,9835,10045,https://www.worldathletics.orgNot found
9,"Zurich Marato Barcelona, Barcelona",ESP,19 MAR 2023,19 MAR 2023,20,9860,9880,https://www.worldathletics.orgNot found
10,"37. Haspa Marathon Hamburg, Hamburg",GER,23 APR 2023,23 APR 2023,35,9844,9879,https://www.worldathletics.orgNot found
11,"Shanghai Marathon, Shanghai",CHN,26 NOV 2023,26 NOV 2023,90,9780,9870,https://www.worldathletics.orgNot found
12,"Zurich Maraton de Sevilla, Sevilla",ESP,19 FEB 2023,19 FEB 2023,10,9834,9844,https://www.worldathletics.orgNot found
13,"Dubai Marathon, Dubai",UAE,12 FEB 2023,12 FEB 2023,30,9785,9815,https://www.worldathletics.orgNot found
14,"Mainova Frankfurt Marathon, Frankfurt",GER,29 OCT 2023,29 OCT 2023,50,9732,9782,https://www.worldathletics.orgNot found
15,"Osaka Marathon, Osaka",JPN,26 FEB 2023,26 FEB 2023,60,9721,9781,https://www.worldathletics.orgNot found
16,"TCS New York Marathon, New York, NY",USA,05 NOV 2023,05 NOV 2023,330,9446,9776,https://www.worldathletics.orgNot found
17,"Ooredoo Doha Marathon, Doha",QAT,20 JAN 2023,20 JAN 2023,15,9716,9731,https://www.worldathletics.orgNot found
18,"Prague Marathon, Praha",CZE,07 MAY 2023,07 MAY 2023,65,9644,9709,https://www.worldathletics.orgNot found
19,"Schneider Electric Marathon de Paris, Paris",FRA,02 APR 2023,02 APR 2023,65,9597,9662,https://www.worldathletics.orgNot found
20,"2023 Beike Beijing Marathon, Beijing",CHN,29 OCT 2023,29 OCT 2023,40,9601,9641,https://www.worldathletics.orgNot found
21,"Vienna City Marathon, Wien",AUT,23 APR 2023,23 APR 2023,10,9568,9578,https://www.worldathletics.orgNot found
22,"Košice Peace Marathon, Košice",SVK,01 OCT 2023,01 OCT 2023,35,9525,9560,https://www.worldathletics.orgNot found
23,"Daegu International Marathon, Daegu",KOR,02 APR 2023,02 APR 2023,30,9517,9547,https://www.worldathletics.orgNot found
24,"Marathon Grand Championship - Paris 24 Selection Race, Tokyo",JPN,15 OCT 2023,15 OCT 2023,90,9438,9528,https://www.worldathletics.orgNot found
25,"Seoul Marathon - Men's Race, Seoul",KOR,19 MAR 2023,19 MAR 2023,35,9468,9503,https://www.worldathletics.orgNot found
26,"ADNOC Abu Dhabi Marathon, Abu Dhabi",UAE,16 DEC 2023,16 DEC 2023,70,9422,9492,https://www.worldathletics.orgNot found
27,"TCS Toronto Waterfront Marathon, Toronto",CAN,15 OCT 2023,15 OCT 2023,20,9436,9456,https://www.worldathletics.orgNot found
28,"Milano Marathon, Milano",ITA,02 APR 2023,02 APR 2023,0,9438,9438,https://www.worldathletics.orgNot found
29,"C&D Xiamen Marathon, Xiamen",CHN,02 APR 2023,02 APR 2023,25,9402,9427,https://www.worldathletics.orgNot found
30,"Enschede Marathon, Enschede",NED,16 APR 2023,16 APR 2023,0,9426,9426,https://www.worldathletics.orgNot found
31,"Tata Mumbai Marathon, Mumbai",IND,15 JAN 2023,15 JAN 2023,35,9383,9418,https://www.worldathletics.orgNot found
32,"Wuxi Marathon, Wuxi",CHN,19 MAR 2023,19 MAR 2023,10,9403,9413,https://www.worldathletics.orgNot found
33,"Yellow River Estuary Marathon, Dongying",CHN,22 OCT 2023,22 OCT 2023,35,9377,9412,https://www.worldathletics.orgNot found
34,"ASML Marathon Eindhoven, Eindhoven",NED,08 OCT 2023,08 OCT 2023,5,9403,9408,https://www.worldathletics.orgNot found
35,"Sydney Marathon, presented by Asics, Sydney",AUS,17 SEP 2023,17 SEP 2023,130,9267,9397,https://www.worldathletics.orgNot found
36,"Run Rome The Marathon, Roma",ITA,19 MAR 2023,19 MAR 2023,0,9373,9373,https://www.worldathletics.orgNot found
37,"Venice Marathon, Venezia",ITA,22 OCT 2023,22 OCT 2023,0,9366,9366,https://www.worldathletics.orgNot found
38,"Hannover Marathon, Hannover",GER,26 MAR 2023,26 MAR 2023,25,9321,9346,https://www.worldathletics.orgNot found
39,"Chevron Houston Marathon, Houston, TX",USA,15 JAN 2023,15 JAN 2023,10,9325,9335,https://www.worldathletics.orgNot found
39,"Marathon International de Rabat, Rabat",MAR,30 APR 2023,30 APR 2023,20,9315,9335,https://www.worldathletics.orgNot found
39,"Maratón de Buenos Aires Ñandú, Buenos Aires",ARG,24 SEP 2023,24 SEP 2023,5,9330,9335,https://www.worldathletics.orgNot found
42,"Gold Coast Marathon, Gold Coast",AUS,02 JUL 2023,02 JUL 2023,5,9327,9332,https://www.worldathletics.orgNot found
43,"Tartan Homes Ottawa International Marathon, Ottawa",CAN,28 MAY 2023,28 MAY 2023,80,9242,9322,https://www.worldathletics.orgNot found
44,"Copenhagen Marathon, København",DEN,14 MAY 2023,14 MAY 2023,0,9296,9296,https://www.worldathletics.orgNot found
45,"Riyadh Marathon, Riyadh",KSA,11 FEB 2023,11 FEB 2023,0,9289,9289,https://www.worldathletics.orgNot found
46,"International Mersin Marathon, Mersin",TUR,10 DEC 2023,10 DEC 2023,0,9277,9277,https://www.worldathletics.orgNot found
47,"Grandma's Marathon, Duluth, MN",USA,17 JUN 2023,17 JUN 2023,0,9273,9273,https://www.worldathletics.orgNot found
48,"International Marathon de Marrakech, Marrakesh",MAR,29 JAN 2023,29 JAN 2023,0,9258,9258,https://www.worldathletics.orgNot found
49,"Shenzhen Marathon, Shenzhen",CHN,03 DEC 2023,03 DEC 2023,25,9232,9257,https://www.worldathletics.orgNot found
50,"Irish Life Dublin Marathon, Dublin",IRL,29 OCT 2023,29 OCT 2023,0,9247,9247,https://www.worldathletics.orgNot found
