Rank,Competitor,DOB,Nat,Score,EventList,athletes_url
1,Kelvin KIPTUM,02 DEC 1999,KEN,1504,Marathon,https://www.worldathletics.org/athletes/kenya/kelvin-kiptum-014859609
2,Eliud KIPCHOGE,05 NOV 1984,KEN,1488,Marathon,https://www.worldathletics.org/athletes/kenya/eliud-kipchoge-014208194
3,Benson KIPRUTO,17 MAR 1991,KEN,1408,Marathon,https://www.worldathletics.org/athletes/kenya/benson-kipruto-014758213
4,Alexander Mutiso MUNYAO,10 SEP 1996,KEN,1396,Marathon,https://www.worldathletics.org/athletes/kenya/alexander-mutiso-munyao-14590685
5,Tamirat TOLA,11 AUG 1991,ETH,1391,Marathon,https://www.worldathletics.org/athletes/ethiopia/tamirat-tola-14589459
6,Tsegaye GETACHEW,30 NOV 1996,ETH,1385,Marathon,https://www.worldathletics.org/athletes/ethiopia/tsegaye-getachew-14732971
7,Leul GEBRESILASE,20 SEP 1992,ETH,1374,Marathon,https://www.worldathletics.org/athletes/ethiopia/leul-gebresilase-14477361
8,Victor KIPLANGAT,10 NOV 1999,UGA,1373,Marathon,https://www.worldathletics.org/athletes/uganda/victor-kiplangat-14760499
9,Gabriel Gerald GEAY,10 SEP 1996,TAN,1373,Marathon,https://www.worldathletics.org/athletes/tanzania/gabriel-gerald-geay-14677692
10,Sisay LEMMA,12 DEC 1990,ETH,1369,Marathon,https://www.worldathletics.org/athletes/ethiopia/sisay-lemma-014547527
11,Amos KIPRUTO,16 SEP 1992,KEN,1367,Marathon,https://www.worldathletics.org/athletes/kenya/amos-kipruto-014694013
12,Evans CHEBET,10 NOV 1988,KEN,1366,Marathon,https://www.worldathletics.org/athletes/kenya/evans-chebet-014483236
13,Chalu DESO,14 DEC 1997,ETH,1364,Marathon,https://www.worldathletics.org/athletes/ethiopia/chalu-deso-14812121
14,Bashir ABDI,10 FEB 1989,BEL,1361,Marathon,https://www.worldathletics.org/athletes/belgium/bashir-abdi-14375137
15,Titus KIPRUTO,25 JUN 1998,KEN,1355,Marathon,https://www.worldathletics.org/athletes/kenya/titus-kipruto-15007785
16,John KORIR,02 DEC 1996,KEN,1350,Marathon,https://www.worldathletics.org/athletes/kenya/john-korir-014845463
17,Seifu TURA,19 JUN 1997,ETH,1349,Marathon,https://www.worldathletics.org/athletes/ethiopia/seifu-tura-14679817
18,CyBrian KOTUT,06 JUN 1992,KEN,1348,Marathon,https://www.worldathletics.org/athletes/kenya/cybrian-kotut-014425928
19,Mohamed ESA,11 SEP 2000,ETH,1348,Marathon,https://www.worldathletics.org/athletes/ethiopia/mohamed-esa-15002406
20,Maru TEFERI,17 AUG 1992,ISR,1344,Marathon,https://www.worldathletics.org/athletes/israel/maru-teferi-14526757
21,Joshua BELET,10 FEB 1998,KEN,1340,Marathon,https://www.worldathletics.org/athletes/kenya/joshua-belet-14802771
22,Philimon Kiptoo KIPCHUMBA,16 OCT 1998,KEN,1339,Marathon,https://www.worldathletics.org/athletes/kenya/philimon-kiptoo-kipchumba-14920350
23,Othmane EL GOUMRI,28 MAY 1992,MAR,1339,Marathon,https://www.worldathletics.org/athletes/morocco/othmane-el-goumri-14413330
24,Haftu TEKLU,21 JAN 2000,ETH,1339,Marathon,https://www.worldathletics.org/athletes/ethiopia/haftu-teklu-14757121
25,Kenenisa BEKELE,13 JUN 1982,ETH,1335,Marathon,https://www.worldathletics.org/athletes/ethiopia/kenenisa-bekele-014181357
26,Bazezew ASMARE,11 SEP 1996,ETH,1326,Marathon,https://www.worldathletics.org/athletes/ethiopia/bazezew-asmare-14862215
27,Dawit WOLDE,19 MAY 1991,ETH,1325,Marathon,https://www.worldathletics.org/athletes/ethiopia/dawit-wolde-014181700
28,Birhanu LEGESE,11 SEP 1994,ETH,1324,Marathon,https://www.worldathletics.org/athletes/ethiopia/birhanu-legese-014554061
29,Shifera TAMRU,01 OCT 1998,ETH,1322,Marathon,https://www.worldathletics.org/athletes/ethiopia/shifera-tamru-014733441
