Rank,Competitor,DOB,Nat,Score,EventList,athletes_url
1,Tigst ASSEFA,03 DEC 1996,ETH,1488,Marathon,https://www.worldathletics.org/athletes/ethiopia/tigst-assefa-14388506
2,Amane Beriso SHANKULE,13 OCT 1991,ETH,1462,Marathon,https://www.worldathletics.org/athletes/ethiopia/amane-beriso-shankule-14664871
3,Sifan HASSAN,01 JAN 1993,NED,1443,Marathon,https://www.worldathletics.org/athletes/netherlands/sifan-hassan-14489606
4,Ruth CHEPNGETICH,08 AUG 1994,KEN,1443,Marathon,https://www.worldathletics.org/athletes/kenya/ruth-chepngetich-14766298
5,Almaz AYANA,21 NOV 1991,ETH,1416,Marathon,https://www.worldathletics.org/athletes/ethiopia/almaz-ayana-014259917
6,Rosemary WANJIRU,09 DEC 1994,KEN,1412,Marathon,https://www.worldathletics.org/athletes/kenya/rosemary-wanjiru-14483460
7,Yalemzerf YEHUALAW,03 AUG 1999,ETH,1382,Marathon,https://www.worldathletics.org/athletes/ethiopia/yalemzerf-yehualaw-14893581
8,Workenesh EDESA,11 SEP 1992,ETH,1380,Marathon,https://www.worldathletics.org/athletes/ethiopia/workenesh-edesa-14675188
9,Sheila CHEPKIRUI,27 DEC 1990,KEN,1380,Marathon,https://www.worldathletics.org/athletes/kenya/sheila-chepkirui-14289156
10,Megertu ALEMU,12 OCT 1997,ETH,1378,Marathon,https://www.worldathletics.org/athletes/ethiopia/megertu-alemu-14815683
11,Tsehay GEMECHU,12 DEC 1998,ETH,1377,Marathon,https://www.worldathletics.org/athletes/ethiopia/tsehay-gemechu-14790676
12,Joyciline JEPKOSGEI,08 DEC 1993,KEN,1371,Marathon,https://www.worldathletics.org/athletes/kenya/joyciline-jepkosgei-014704913
13,Gotytom GEBRESLASE,15 JAN 1995,ETH,1364,Marathon,https://www.worldathletics.org/athletes/ethiopia/gotytom-gebreslase-14477379
14,Fatima Ezzahra GARDADI,20 MAR 1992,MAR,1352,Marathon,https://www.worldathletics.org/athletes/morocco/fatima-ezzahra-gardadi-14442050
15,Honami MAEDA,17 JUL 1996,JPN,1348,Marathon,https://www.worldathletics.org/athletes/japan/honami-maeda-014643309
16,Hellen OBIRI,13 DEC 1989,KEN,1348,Marathon,https://www.worldathletics.org/athletes/kenya/hellen-obiri-14424921
17,Meseret BELETE,16 SEP 1999,ETH,1345,Marathon,https://www.worldathletics.org/athletes/ethiopia/meseret-belete-014823795
18,Lonah Chemtai SALPETER,12 DEC 1988,ISR,1344,Marathon,https://www.worldathletics.org/athletes/israel/lonah-chemtai-salpeter-14523502
19,Letesenbet GIDEY,20 MAR 1998,ETH,1342,Marathon,https://www.worldathletics.org/athletes/ethiopia/letesenbet-gidey-14654918
20,Siranesh YIRGA,11 SEP 2000,ETH,1340,Marathon,https://www.worldathletics.org/athletes/ethiopia/siranesh-yirga-14968516
21,Tadu TESHOME,09 JUN 2001,ETH,1338,Marathon,https://www.worldathletics.org/athletes/ethiopia/tadu-teshome-014817199
22,Genzebe DIBABA,08 FEB 1991,ETH,1336,Marathon,https://www.worldathletics.org/athletes/ethiopia/genzebe-dibaba-014259874
23,Ashete BEKERE,17 APR 1988,ETH,1335,Marathon,https://www.worldathletics.org/athletes/ethiopia/ashete-bekere-14492788
24,Emily SISSON,12 OCT 1991,USA,1327,Marathon,https://www.worldathletics.org/athletes/united-states/emily-sisson-014321386
25,Judith Jeptum KORIR,12 DEC 1995,KEN,1324,Marathon,https://www.worldathletics.org/athletes/kenya/judith-jeptum-korir-14892464
26,Zeineba YIMER,17 JUN 1998,ETH,1324,Marathon,https://www.worldathletics.org/athletes/ethiopia/zeineba-yimer-014771299
27,Sisay Meseret GOLA,30 DEC 1997,ETH,1324,Marathon,https://www.worldathletics.org/athletes/ethiopia/sisay-meseret-gola-014768868
28,Selly Chepyego KAPTICH,03 OCT 1985,KEN,1322,Marathon,https://www.worldathletics.org/athletes/kenya/selly-chepyego-kaptich-14372447
29,Sharon LOKEDI,10 MAR 1994,KEN,1320,Marathon,https://www.worldathletics.org/athletes/kenya/sharon-lokedi-14684778
30,Ruti AGA,16 JAN 1994,ETH,1319,Marathon,https://www.worldathletics.org/athletes/ethiopia/ruti-aga-014534530
31,Betsy SAINA,30 JUN 1988,USA,1318,Marathon,https://www.worldathletics.org/athletes/united-states/betsy-saina-014363050
32,Eunice Chebichii CHUMBA,23 MAY 1993,BRN,1311,Marathon,https://www.worldathletics.org/athletes/bahrain/eunice-chebichii-chumba-14423913
33,Worknesh DEGEFA,28 OCT 1990,ETH,1310,Marathon [Half Marathon],https://www.worldathletics.org/athletes/ethiopia/worknesh-degefa-014519170
34,Tiruye MESFIN,11 SEP 2002,ETH,1309,Marathon,https://www.worldathletics.org/athletes/ethiopia/tiruye-mesfin-15001325
35,Ayuko SUZUKI,08 OCT 1991,JPN,1305,Marathon,https://www.worldathletics.org/athletes/japan/ayuko-suzuki-014428635
36,Mizuki MATSUDA,31 MAY 1995,JPN,1303,Marathon,https://www.worldathletics.org/athletes/japan/mizuki-matsuda-14548272
37,Dera DIDA,26 OCT 1996,ETH,1302,Marathon,https://www.worldathletics.org/athletes/ethiopia/dera-dida-014672196
38,Rahma TUSA,14 SEP 1993,ETH,1301,Marathon,https://www.worldathletics.org/athletes/ethiopia/rahma-tusa-014662234
39,Bekelech GUDETA,11 OCT 1997,ETH,1299,Marathon,https://www.worldathletics.org/athletes/ethiopia/bekelech-gudeta-014765899
40,Meseret ABEBAYAHAU,28 JUN 1998,ETH,1298,Marathon,https://www.worldathletics.org/athletes/ethiopia/meseret-abebayahau-14699428
41,Hiwot GEBREKIDAN,11 MAY 1995,ETH,1296,Marathon,https://www.worldathletics.org/athletes/ethiopia/hiwot-gebrekidan-014534424
42,Peres JEPCHIRCHIR,27 SEP 1993,KEN,1295,Marathon [Half Marathon],https://www.worldathletics.org/athletes/kenya/peres-jepchirchir-14593938
43,Dorcas Jepchirchir TUITOEK,31 JAN 1998,KEN,1292,Marathon,https://www.worldathletics.org/athletes/kenya/dorcas-jepchirchir-tuitoek-014695581
44,Haven Hailu DESSE,10 SEP 1998,ETH,1290,Marathon,https://www.worldathletics.org/athletes/ethiopia/haven-hailu-desse-14816253
45,Senbere TEFERI,03 MAY 1995,ETH,1287,Marathon [Half Marathon],https://www.worldathletics.org/athletes/ethiopia/senbere-teferi-014477329
46,Deshun ZHANG,21 FEB 1996,CHN,1285,Marathon,https://www.worldathletics.org/athletes/pr-of-china/deshun-zhang-14693572
47,Helen BEKELE,21 NOV 1994,ETH,1285,Marathon,https://www.worldathletics.org/athletes/ethiopia/helen-bekele-014695376
48,Vivian KIPLAGAT,09 NOV 1991,KEN,1284,Marathon,https://www.worldathletics.org/athletes/kenya/vivian-kiplagat-014750469
49,Zinah SENBETA,30 SEP 1998,ETH,1283,Marathon,https://www.worldathletics.org/athletes/ethiopia/zinah-senbeta-14802773
50,Celestine CHEPCHIRCHIR,18 DEC 1995,KEN,1282,Marathon,https://www.worldathletics.org/athletes/kenya/celestine-chepchirchir-014426303
51,Magdalena SHAURI,25 FEB 1996,TAN,1280,Marathon [Half Marathon],https://www.worldathletics.org/athletes/tanzania/magdalena-shauri-014731840
52,Tigist GIRMA,12 JUL 1993,ETH,1280,Marathon,https://www.worldathletics.org/athletes/ethiopia/tigist-girma-014739729
53,Majida MAAYOUF,27 APR 1989,ESP,1280,Marathon,https://www.worldathletics.org/athletes/spain/majida-maayouf-14290718
54,Mao UESUGI,16 AUG 1995,JPN,1277,Marathon,https://www.worldathletics.org/athletes/japan/mao-uesugi-014686449
55,Dolshi TESFU,17 JUN 1999,ERI,1274,Marathon,https://www.worldathletics.org/athletes/eritrea/dolshi-tesfu-14786771
56,Anchialem HAYMANOT,09 MAY 2001,ETH,1272,Marathon,https://www.worldathletics.org/athletes/ethiopia/anchialem-haymanot-14923892
57,Nazret WELDU,01 JAN 1990,ERI,1271,Marathon,https://www.worldathletics.org/athletes/eritrea/nazret-weldu-14262207
58,Brigid KOSGEI,20 FEB 1994,KEN,1270,Marathon,https://www.worldathletics.org/athletes/kenya/brigid-kosgei-014730790
59,Waganesh MEKASHA,16 JAN 1992,ETH,1270,Marathon,https://www.worldathletics.org/athletes/ethiopia/waganesh-mekasha-014413308
60,Ai HOSODA,27 NOV 1995,JPN,1268,Marathon,https://www.worldathletics.org/athletes/japan/ai-hosoda-14672593
61,Joan Chelimo MELLY,10 NOV 1990,ROU,1267,Marathon,https://www.worldathletics.org/athletes/romania/joan-chelimo-melly-14426302
62,Hitomi NIIYA,26 FEB 1988,JPN,1267,Marathon,https://www.worldathletics.org/athletes/japan/hitomi-niiya-14287407
63,Mary Wacera NGUGI,17 DEC 1988,KEN,1267,Marathon,https://www.worldathletics.org/athletes/kenya/mary-wacera-ngugi-14289475
64,Sutume Asefa KEBEDE,11 DEC 1994,ETH,1267,Marathon [Half Marathon],https://www.worldathletics.org/athletes/ethiopia/sutume-asefa-kebede-014585818
65,Desi Jisa MOKONIN,12 JUL 1997,BRN,1266,Marathon,https://www.worldathletics.org/athletes/bahrain/desi-jisa-mokonin-014646798
66,Buzunesh GETACHEW,18 APR 1997,ETH,1265,Marathon,https://www.worldathletics.org/athletes/ethiopia/buzunesh-getachew-014672912
67,Stella CHESANG,01 DEC 1996,UGA,1263,Marathon,https://www.worldathletics.org/athletes/uganda/stella-chesang-14464203
68,Vibian CHEPKURUI,05 JUN 1994,KEN,1263,Marathon,https://www.worldathletics.org/athletes/kenya/vibian-chepkurui-014752836
69,Fikrte WERETA,21 SEP 2000,ETH,1263,Marathon,https://www.worldathletics.org/athletes/ethiopia/fikrte-wereta-15028742
70,Sayaka SATO,27 MAY 1994,JPN,1263,Marathon,https://www.worldathletics.org/athletes/japan/sayaka-sato-14594119
71,Angela TANUI,27 JUL 1992,KEN,1262,Marathon,https://www.worldathletics.org/athletes/kenya/angela-tanui-14423894
72,Rose CHELIMO,12 JUL 1989,BRN,1260,Marathon,https://www.worldathletics.org/athletes/bahrain/rose-chelimo-14436833
73,Ababel YESHANEH,22 JUL 1991,ETH,1260,Marathon [Half Marathon],https://www.worldathletics.org/athletes/ethiopia/ababel-yeshaneh-14465270
74,Mare DIBABA,20 OCT 1989,ETH,1259,Marathon,https://www.worldathletics.org/athletes/ethiopia/mare-dibaba-14326294
75,Fancy CHEMUTAI,20 MAR 1995,KEN,1256,Marathon,https://www.worldathletics.org/athletes/kenya/fancy-chemutai-014787595
76,Aberu AYANA,11 SEP 1993,ETH,1255,Marathon,https://www.worldathletics.org/athletes/ethiopia/aberu-ayana-14861880
77,Beyenu DEGEFA,12 JUL 1999,ETH,1253,Marathon,https://www.worldathletics.org/athletes/ethiopia/beyenu-degefa-014760219
78,Emma BATES,08 JUL 1992,USA,1248,Marathon,https://www.worldathletics.org/athletes/united-states/emma-bates-14453636
79,Meseret DINKE,22 SEP 1996,ETH,1248,Marathon,https://www.worldathletics.org/athletes/ethiopia/meseret-dinke-14878325
80,Delvine Relin MERINGOR,01 AUG 1992,ROU,1246,Marathon,https://www.worldathletics.org/athletes/romania/delvine-relin-meringor-14326274
81,Helah Jelagat KIPROP,07 APR 1985,KEN,1246,Marathon,https://www.worldathletics.org/athletes/kenya/helah-jelagat-kiprop-014289150
82,Edna Ngeringwony KIPLAGAT,15 NOV 1979,KEN,1245,Marathon,https://www.worldathletics.org/athletes/kenya/edna-ngeringwony-kiplagat-014289137
83,Keira D'AMATO,21 OCT 1984,USA,1245,Marathon [Half Marathon],https://www.worldathletics.org/athletes/united-states/keira-damato-14307211
84,Agnes KEINO,17 JAN 1988,KEN,1245,Marathon,https://www.worldathletics.org/athletes/kenya/agnes-keino-014807884
85,Janet RUGURU,20 MAY 1993,KEN,1245,Marathon,https://www.worldathletics.org/athletes/kenya/janet-ruguru-14797483
86,Violah CHEPTOO,01 MAR 1989,KEN,1244,Marathon,https://www.worldathletics.org/athletes/kenya/violah-cheptoo-014372181
87,Yuka SUZUKI,14 SEP 1999,JPN,1243,Marathon,https://www.worldathletics.org/athletes/japan/yuka-suzuki-014728060
88,Antonina KWAMBAI,01 APR 1992,KEN,1242,Marathon,https://www.worldathletics.org/athletes/kenya/antonina-kwambai-014757523
89,Sentayehu LEWETEGN,09 MAY 1996,ETH,1242,Marathon,https://www.worldathletics.org/athletes/ethiopia/sentayehu-lewetegn-014672195
90,Yuka ANDO,16 MAR 1994,JPN,1241,Marathon [Half Marathon],https://www.worldathletics.org/athletes/japan/yuka-ando-014419637
