,Year,Winner,Country,Time,Distance (Miles),Distance (KM)
0,1897.0,John McDermott,United States,02:55:10,24.5,39.4
1,1898.0,Ronald MacDonald,Canada,02:42:00,24.5,39.4
2,1899.0,Lawrence Brignolia,United States,02:54:38,24.5,39.4
3,1900.0,Jack Caffery,Canada,02:39:44,24.5,39.4
4,1901.0,Jack Caffery,Canada,02:29:23,24.5,39.4
5,1902.0,Sammy Mellor,United States,02:43:12,24.5,39.4
6,1903.0,John Lordan,United States,02:41:29,24.5,39.4
7,1904.0,Michael Spring,United States,02:38:04,24.5,39.4
8,1905.0,Frederick Lorz,United States,02:38:25,24.5,39.4
9,1906.0,Timothy Ford,United States,02:45:45,24.5,39.4
10,1907.0,Tom Longboat,Canada,02:24:24,24.5,39.4
11,1908.0,Thomas Morrissey,United States,02:25:43,24.5,39.4
12,1909.0,Henri Renaud,United States,02:53:36,24.5,39.4
13,1910.0,Fred S. Cameron,Canada,02:28:52,24.5,39.4
14,1911.0,Clarence DeMar,United States,02:21:39,24.5,39.4
15,1912.0,Michael J. Ryan,United States,02:21:18,24.5,39.4
16,1913.0,Fritz Carlson,United States,02:25:14,24.5,39.4
17,1914.0,Jimmy Duffy,Canada,02:25:14,24.5,39.4
18,1915.0,Édouard Fabre,Canada,02:31:41,24.5,39.4
19,1916.0,Arthur Roth,United States,02:27:16,24.5,39.4
20,1917.0,Bill Kennedy,United States,02:28:37,24.5,39.4
21,,,,,,
22,1919.0,Carl Linder,United States,02:29:13,24.5,39.4
23,1920.0,Panagiotis Trivoulidas,Greece,02:29:31,24.5,39.4
24,1921.0,Frank Zuna,United States,02:18:57,24.5,39.4
25,1922.0,Clarence DeMar,United States,02:18:10,24.5,39.4
26,1923.0,Clarence DeMar,United States,02:23:47,24.5,39.4
27,1924.0,Clarence DeMar,United States,02:29:40,26.1,42.0
28,1925.0,Charles Mellor,United States,02:33:00,26.1,42.0
29,1926.0,Johnny Miles,Canada,02:25:40,26.1,42.0
30,1927.0,Clarence DeMar,United States,02:40:22,26.2,42.2
31,1928.0,Clarence DeMar,United States,02:37:07,26.2,42.2
