,Year,Winner,Country,Time,Distance (Miles),Distance (KM)
0,1966.0,Bobbi Gibb,United States,3:21:40,26.2,42.2
1,1967.0,Bobbi Gibb,United States,3:27:17,26.2,42.2
2,1968.0,Bobbi Gibb,United States,3:30:00,26.2,42.2
3,1969.0,Sara Mae Berman,United States,3:22:46,26.2,42.2
4,1970.0,Sara Mae Berman,United States,3:05:07,26.2,42.2
5,1971.0,Sara Mae Berman,United States,3:08:30,26.2,42.2
6,1972.0,Nina Kuscsik,United States,3:10:26,26.2,42.2
7,1973.0,Jacqueline Hansen,United States,3:05:59,26.2,42.2
8,1974.0,Miki Gorman,United States,2:47:11,26.2,42.2
9,1975.0,Liane Winter,Germany,2:42:24,26.2,42.2
10,1976.0,Kim Merritt,United States,2:47:10,26.2,42.2
11,1977.0,Miki Gorman,United States,2:48:33,26.2,42.2
12,1978.0,Gayle Barron,United States,2:44:52,26.2,42.2
13,1979.0,Joan Benoit,United States,2:35:15,26.2,42.2
14,1980.0,Jacqueline Gareau,Canada,2:34:28,26.2,42.2
15,1981.0,Allison Roe,New Zealand,2:26:46,26.2,42.2
16,1982.0,Charlotte Teske,Germany,2:29:33,26.2,42.2
17,1983.0,Joan Benoit,United States,2:22:43,26.2,42.2
18,1984.0,Lorraine Moller,New Zealand,2:29:28,26.2,42.2
19,1985.0,Lisa Larsen Weidenbach,United States,2:34:06,26.2,42.2
20,1986.0,Ingrid Kristiansen,Norway,2:24:55,26.2,42.2
21,1987.0,Rosa Mota,Portugal,2:25:21,26.2,42.2
22,1988.0,Rosa Mota,Portugal,2:24:30,26.2,42.2
23,1989.0,Ingrid Kristiansen,Norway,2:24:33,26.2,42.2
24,1990.0,Rosa Mota,Portugal,2:25:24,26.2,42.2
25,1991.0,Wanda Panfil,Poland,2:24:18,26.2,42.2
26,1992.0,Olga Markova,Russia,2:23:43,26.2,42.2
27,1993.0,Olga Markova,Russia,2:25:27,26.2,42.2
28,1994.0,Uta Pippig,Germany,2:21:45,26.2,42.2
29,1995.0,Uta Pippig,Germany,2:25:11,26.2,42.2
30,1996.0,Uta Pippig,Germany,2:27:12,26.2,42.2
31,1997.0,Fatuma Roba,Ethiopia,2:26:23,26.2,42.2
32,1998.0,Fatuma Roba,Ethiopia,2:23:21,26.2,42.2
33,1999.0,Fatuma Roba,Ethiopia,2:23:25,26.2,42.2
34,2000.0,Catherine Ndereba,Kenya,2:26:11,26.2,42.2
35,2001.0,Catherine Ndereba,Kenya,2:23:53,26.2,42.2
36,2002.0,Margaret Okayo,Kenya,2:20:43,26.2,42.2
37,2003.0,Svetlana Zakharova,Russia,2:25:19,26.2,42.2
38,2004.0,Catherine Ndereba,Kenya,2:24:27,26.2,42.2
39,2005.0,Catherine Ndereba,Kenya,2:25:12,26.2,42.2
40,2006.0,Rita Jeptoo,Kenya,2:23:38,26.2,42.2
41,2007.0,Lidiya Grigoryeva,Russia,2:29:18,26.2,42.2
42,2008.0,Dire Tune,Ethiopia,2:25:25,26.2,42.2
43,2009.0,Salina Kosgei,Kenya,2:32:16,26.2,42.2
44,2010.0,Teyba Erkesso,Ethiopia,2:26:11,26.2,42.2
45,2011.0,Caroline Kilel,Kenya,2:22:36,26.2,42.2
46,2012.0,Sharon Cherop,Kenya,2:31:50,26.2,42.2
47,2013.0,Rita Jeptoo,Kenya,2:26:25,26.2,42.2
48,2014.0,Buzunesh Deba,Ethiopia,2:19:59,26.2,42.2
49,2015.0,Caroline Rotich,Kenya,2:24:55,26.2,42.2
50,2016.0,Atsede Baysa,Ethiopia,2:29:19,26.2,42.2
51,2017.0,Edna Kiplagat,Kenya,2:21:52,26.2,42.2
52,2018.0,Desiree Linden,United States,2:39:54,26.2,42.2
53,2019.0,Worknesh Degefa,Ethiopia,2:23:31,26.2,42.2
54,,,,,26.2,42.2
55,2021.0,Edna Kiplagat,Kenya,2:25:09,26.2,42.2
56,2022.0,Peres Jepchirchir,Kenya,2:21:02,26.2,42.2
