,Place Overall,Place Gender,Name (CTZ),BIB,Division,HALF,Finish
0,1,1,"Kiptum, Kelvin (KEN)",2,20-24,01:00:48,02:00:35
1,2,2,"Kipruto, Benson (KEN)",1,30-34,01:02:21,02:04:02
2,3,3,"Abdi, Bashir (BEL)",3,30-34,01:02:21,02:04:32
3,4,4,"Korir, John (KEN)",7,25-29,01:02:21,02:05:09
4,5,5,"Tura Abdiwak, Seifu (ETH)",6,25-29,01:02:21,02:05:29
5,6,6,"Mantz, Conner (USA)",10,25-29,01:03:21,02:07:47
6,7,7,"Young, Clayton (USA)",25,30-34,01:03:42,02:08:00
7,8,8,"Rupp, Galen (USA)",9,35-39,01:03:21,02:08:48
8,9,9,"Chelanga, Sam (USA)",29,35-39,01:03:21,02:08:50
9,10,10,"Ichida, Takashi (JPN)",12,30-34,01:03:21,02:08:57
10,11,11,"Shrader, Brian (USA)",27,30-34,01:04:35,02:09:46
11,12,12,"Kiptoo, Wesley (KEN)",31,20-24,01:03:18,02:10:28
12,13,13,"McDonald, Matt (USA)",16,30-34,01:04:35,02:10:34
13,14,14,"Reichow, Joel (USA)",26,30-34,01:04:41,02:10:37
14,15,15,"Colley, Andrew (USA)",22,30-34,01:04:35,02:11:22
15,16,16,"Salvano, Kevin (USA)",24,25-29,01:04:35,02:11:26
16,17,17,"Wolde, Dawit (ETH)",5,30-34,01:02:20,02:11:33
17,18,18,"Lara, Frank (USA)",23,25-29,01:03:55,02:12:57
18,19,19,"Gusman, Jordan (MLT)",33,25-29,01:05:54,02:13:13
19,20,20,"Kiselev, Stepan (RUS)",611,35-39,01:05:09,02:13:26
20,21,1,"Hassan, Sifan (NED)",108,30-34,01:05:48,02:13:44
21,22,21,"Nonaka, Masashi (JPN)",18,25-29,01:03:45,02:14:58
22,23,22,"Tsuda, Masaki (JPN)",20,20-24,01:04:35,02:15:24
23,24,2,"Chepngetich, Ruth (KEN)",101,25-29,01:05:42,02:15:37
24,25,23,"Winter, Connor (USA)",32,30-34,01:07:46,02:15:51
25,26,24,"Jermann, Tyler",854,30-34,01:07:52,02:16:23
26,27,25,"Heninger, Julian (USA)",18054,25-29,01:07:57,02:16:48
27,28,26,"Vazquez Olivas, Eric (USA)",793,20-24,01:08:57,02:17:04
28,29,3,"Alemu, Megertu (ETH)",107,25-29,01:07:26,02:17:09
29,30,27,"Payne, Benjamin",856,40-44,01:08:33,02:17:15
30,31,28,"Dickson, Cameron (USA)",501,25-29,01:08:33,02:17:15
31,32,29,"McDonnell, Kevin (USA)",663,30-34,01:08:41,02:17:22
32,33,4,"Jepkosgei, Joyciline (KEN)",103,25-29,01:07:26,02:17:23
33,34,30,"Higashi, Mizuki (JPN)",21,25-29,01:03:21,02:17:55
34,35,31,"Medina, Oscar (USA)",669,30-34,01:08:57,02:18:27
35,36,32,"Matsumura, Yuki (JPN)",11,30-34,01:04:40,02:18:59
36,37,33,"Mendez, Mauricio (MEX)",672,25-29,01:07:27,02:19:00
37,38,34,"Senneville, Marc-Antoine (CAN)",756,25-29,01:09:32,02:19:19
38,39,35,"Nelson, Scott (USA)",863,25-29,01:09:33,02:19:43
39,40,36,"Sandusky, Alec (USA)",34,25-29,01:07:46,02:19:46
40,41,37,"Thies, Jeff (USA)",778,25-29,01:08:56,02:19:54
41,42,5,"Teshome Nare, Tadu (ETH)",102,20-24,01:08:34,02:20:04
42,43,38,"Cabrera, Carlos (USA)",452,20-24,01:08:57,02:20:04
43,44,39,"Baum, Mitchell (USA)",418,25-29,01:07:52,02:20:23
44,45,40,"Alcorn, Derek (USA)",842,30-34,01:08:58,02:20:46
45,46,41,"Cisewski, David (USA)",20120,40-44,01:09:10,02:20:53
46,47,42,"Young, Matt (USA)",862,25-29,01:08:44,02:20:53
47,48,43,"Trujillo, Esteban (USA)",786,35-39,01:09:31,02:21:16
48,49,44,"Gelston, Andrew (USA)",10030,30-34,01:09:08,02:21:21
49,50,45,"Harris, Corbin (USA)",562,25-29,01:08:55,02:21:42
50,51,6,"Dibaba Keneni, Genzebe (ETH)",104,30-34,01:08:39,02:21:47
51,52,46,"Iacofano, Michael (USA)",17,25-29,01:05:35,02:21:51
52,53,47,"Ricci, Simon (USA)",728,25-29,01:08:57,02:21:54
53,54,7,"Sisson, Emily (USA)",106,30-34,01:09:31,02:22:09
54,55,48,"Yanek, Nicholas (USA)",19195,20-24,01:09:08,02:22:16
55,56,49,"Mather, Cody (USA)",656,25-29,01:10:43,02:22:17
56,57,50,"Rosenkranz, Josh (USA)",739,25-29,01:08:56,02:22:32
57,58,51,"Toney, Harrison (USA)",781,30-34,01:09:47,02:22:33
58,59,52,"Rockett, Connor (USA)",735,25-29,01:10:31,02:22:37
59,60,53,"Pederson, Daniel (USA)",709,25-29,01:08:33,02:22:52
60,61,8,"Seidel, Molly (USA)",114,25-29,01:10:47,02:23:07
61,62,54,"Beckett, Cameron (USA)",421,30-34,01:10:42,02:23:11
62,63,9,"Harvey, Rose (GBR)",119,30-34,01:12:06,02:23:21
63,64,10,"Vaughn, Sara (USA)",116,35-39,01:12:06,02:23:24
64,65,55,"Gaertlein, David (GER)",3078,30-34,01:11:29,02:23:33
65,66,56,"Jamnick, Nick (USA)",595,30-34,01:08:59,02:23:45
66,67,57,"Tiongson, Paolo (USA)",829,20-24,01:10:42,02:23:45
67,68,58,"De Olinda, Leonardo (BRA)",494,30-34,01:09:32,02:23:47
68,69,59,"Turner, Alex (USA)",787,25-29,01:10:00,02:23:58
69,70,60,"Craighead, Daniel (USA)",479,30-34,01:09:50,02:24:04
70,71,61,"Lizano Cedeno, Cesar (CRC)",25132,40-44,01:12:10,02:24:05
71,72,62,"Gonzalez Cidon, Jesus (ESP)",5031,30-34,01:10:30,02:24:05
72,73,63,"Liddell, John",855,30-34,01:10:18,02:24:22
73,74,64,"Impey, Nick (GBR)",25488,40-44,01:12:02,02:24:23
74,75,65,"Chudzik, Nicholas (USA)",468,20-24,01:11:45,02:24:26
75,76,66,"Ziegler, Brad (USA)",820,25-29,01:11:49,02:24:28
76,77,11,"Rooker, Gabriella (USA)",120,35-39,01:12:07,02:24:35
77,78,67,"Bowen, Johnathan (USA)",20158,20-24,01:11:47,02:24:38
78,79,68,"Wojdyla, Ryan (USA)",6126,30-34,01:13:00,02:24:38
79,80,69,"Sevcik, David (USA)",757,30-34,01:09:47,02:24:39
80,81,12,"Lindwurm, Dakotah (USA)",115,25-29,01:11:50,02:24:40
81,82,70,"Smith, Tyler (USA)",764,25-29,01:08:57,02:24:41
82,83,71,"Jirot, Nicolas (CAN)",843,40-44,01:12:41,02:24:47
83,84,72,"Sedbrook, Cody (USA)",755,25-29,01:12:08,02:24:50
84,85,73,"Cole, Ben (GBR)",6047,35-39,01:13:06,02:24:55
85,86,74,"Cadwell, William (USA)",453,25-29,01:09:32,02:24:59
86,87,13,"Bates, Emma (USA)",111,30-34,01:09:31,02:25:04
87,88,75,"Opdycke, Tyler (USA)",701,20-24,01:10:42,02:25:08
88,89,76,"Ryan, Dennis (USA)",743,30-34,01:12:07,02:25:35
89,90,77,"Voehler, Dominic (USA)",19118,25-29,01:12:05,02:25:38
90,91,78,"Wiggins, Kai (USA)",20071,25-29,01:11:43,02:25:44
91,92,79,"Louis, Romain (FRA)",3052,30-34,01:11:39,02:25:47
92,93,80,"Lawrence, Steven (CAN)",22163,45-49,01:11:41,02:25:51
93,94,81,"Conde, Trevor (USA)",478,30-34,01:08:58,02:25:51
94,95,14,"Van Ord, Tristin (USA)",118,25-29,01:12:06,02:25:58
95,96,82,"Almond, Thomas (GBR)",405,30-34,01:13:11,02:26:02
96,97,83,"Hudson, David (GBR)",588,40-44,01:12:07,02:26:14
97,98,84,"Sherf, Aaron (USA)",758,30-34,01:12:41,02:26:20
98,99,85,"Gold, Alex (USA)",21043,25-29,01:13:12,02:26:32
99,100,86,"Lindquist, Jackson (USA)",633,30-34,01:13:10,02:26:37
100,101,87,"Dialynas, Thomas (USA)",830,30-34,01:08:58,02:26:42
101,102,88,"Sugai, Hirohito (JPN)",770,25-29,01:08:39,02:26:47
102,103,15,"Kebede, Sutume Asefa (ETH)",105,25-29,01:08:59,02:26:49
103,104,89,"Hernandez Escalona, Ismain (MEX)",572,30-34,01:10:44,02:26:50
104,105,90,"Castellani, Michael (USA)",457,30-34,01:12:10,02:26:50
105,106,91,"O'Connor, Nathan (USA)",695,20-24,01:12:07,02:26:58
106,107,92,"Mbelenzi, Dennis (CAN)",659,40-44,01:11:03,02:27:09
107,108,93,"Larson, Korey (USA)",627,40-44,01:12:58,02:27:15
108,109,94,"Villanueva, Jorge (USA)",794,25-29,01:13:11,02:27:18
109,110,95,"Tesselaar, Tim (NED)",1028,25-29,01:13:38,02:27:20
110,111,96,"Salvador, Xavier (USA)",19110,25-29,01:13:36,02:27:23
111,112,97,"Mora, Connor (USA)",681,25-29,01:10:28,02:27:23
112,113,98,"Trimble, Luke (USA)",7039,30-34,01:13:01,02:27:26
113,114,99,"Keinath, Moritz (SUI)",5073,30-34,01:13:44,02:27:27
114,115,100,"Furcich, Justin (USA)",18127,25-29,01:13:47,02:27:28
115,116,16,"Scott, Dominique (RSA)",123,30-34,01:12:20,02:27:31
