QP,CP,Nat,Name,Statut,Details
1,1,ETH,Sisay LEMMA,Qualified by Entry Standard,2:01:48 - Valencia (ESP) - 03 DEC 2023
2,1,KEN,Benson KIPRUTO,Qualified by Entry Standard,2:02:16 - Tokyo (JPN) - 03 MAR 2024
3,2,KEN,Eliud KIPCHOGE,Qualified by Entry Standard,2:02:42 - Berlin (GER) - 24 SEP 2023
4,3,KEN,Timothy KIPLAGAT,Qualified by Entry Standard,2:02:55 - Tokyo (JPN) - 03 MAR 2024
5,1,TAN,Gabriel Gerald GEAY,Qualified by Entry Standard,2:03:00 - Valencia (ESP) - 04 DEC 2022
,4,KEN,Alexander Mutiso MUNYAO,Qualified by Entry Standard,2:03:11 - Valencia (ESP) - 03 DEC 2023
,5,KEN,Vincent Kipkemoi NGETICH,Qualified by Entry Standard,2:03:13 - Berlin (GER) - 24 SEP 2023
6,2,ETH,Tadese TAKELE,Qualified by Entry Standard,2:03:24 - Berlin (GER) - 24 SEP 2023
,4,ETH,Tamirat TOLA,Qualified by Entry Standard,2:03:40 - Valencia (ESP) - 04 DEC 2022
7,1,BEL,Bashir ABDI,Qualified by Entry Standard,2:03:47 - Rotterdam (NED) - 16 APR 2023
8,1,FRA,Morhad AMDOUNI,Qualified by Entry Standard,2:03:47 - Sevilla (ESP) - 18 FEB 2024
,5,ETH,Dawit WOLDE,Qualified by Entry Standard,2:03:48 - Valencia (ESP) - 03 DEC 2023
,6,KEN,Bernard Kiprop KOECH,Qualified by Entry Standard,2:04:09 - Hamburg (GER) - 23 APR 2023
,7,KEN,Joshua BELET,Qualified by Entry Standard,2:04:18 - Amsterdam (NED) - 15 OCT 2023
,6,ETH,Kenenisa BEKELE,Qualified by Entry Standard,2:04:19 - Valencia (ESP) - 03 DEC 2023
,8,KEN,Ronald KORIR,Qualified by Entry Standard,2:04:22 - Berlin (GER) - 24 SEP 2023
,9,KEN,Geoffrey KAMWOROR,Qualified by Entry Standard,2:04:23 - London (GBR) - 23 APR 2023
,10,KEN,CyBrian KOTUT,Qualified by Entry Standard,2:04:34 - Amsterdam (NED) - 15 OCT 2023
9,1,TUR,Kaan Kigen ÖZBILEN,Qualified by Entry Standard,2:04:36 - Valencia (ESP) - 04 DEC 2022
,11,KEN,Bethwel KIBET,Qualified by Entry Standard,2:04:37 - Amsterdam (NED) - 15 OCT 2023
,7,ETH,Haftu TEKLU,Qualified by Entry Standard,2:04:42 - Berlin (GER) - 24 SEP 2023
,8,ETH,Andualem BELAY,Qualified by Entry Standard,2:04:44 - Berlin (GER) - 24 SEP 2023
,9,ETH,Birhanu LEGESE,Qualified by Entry Standard,2:04:44 - Amsterdam (NED) - 15 OCT 2023
,12,KEN,Kibiwott KANDIE,Qualified by Entry Standard,2:04:48 - Valencia (ESP) - 03 DEC 2023
,13,KEN,Amos KIPRUTO,Qualified by Entry Standard,2:04:49 - Berlin (GER) - 24 SEP 2023
,14,KEN,Kenneth Kiprop KIPKEMOI,Qualified by Entry Standard,2:04:52 - Eindhoven (NED) - 08 OCT 2023
,15,KEN,Brimin KIPKORIR,Qualified by Entry Standard,2:04:53 - Frankfurt (GER) - 29 OCT 2023
10,1,ISR,Gashau AYALE,Qualified by Entry Standard,2:04:53 - Sevilla (ESP) - 18 FEB 2024
,10,ETH,Chalu DESO,Qualified by Entry Standard,2:04:56 - Valencia (ESP) - 04 DEC 2022
,16,KEN,Philemon KIPLIMO,Qualified by Entry Standard,2:04:56 - Berlin (GER) - 24 SEP 2023
11,1,GER,Amanal PETROS,Qualified by Entry Standard,2:04:58 - Berlin (GER) - 24 SEP 2023
,11,ETH,Gadisa BIRHANU,Qualified by Entry Standard,2:04:59 - Sevilla (ESP) - 19 FEB 2023
,12,ETH,Addisu GOBENA,Qualified by Entry Standard,2:05:01 - Dubai (UAE) - 07 JAN 2024
,17,KEN,Boniface KIMUTAI,Qualified by Entry Standard,2:05:05 - Berlin (GER) - 24 SEP 2023
12,1,BRN,Marius KIMUTAI,Qualified by Entry Standard,2:05:06 - Barcelona (ESP) - 19 MAR 2023
,18,KEN,Samwel Nyamai MAILU,Qualified by Entry Standard,2:05:08 - Wien (AUT) - 23 APR 2023
,19,KEN,John KORIR,Qualified by Entry Standard,"2:05:09 - Chicago, IL (USA) - 08 OCT 2023"
13,1,SUI,Tadesse ABRAHAM,Qualified by Entry Standard,2:05:10 - Berlin (GER) - 24 SEP 2023
14,1,MAR,Othmane EL GOUMRI,Qualified by Entry Standard,2:05:12 - Barcelona (ESP) - 19 MAR 2023
,13,ETH,Kebede TULU,Qualified by Entry Standard,2:05:19 - Sevilla (ESP) - 19 FEB 2023
15,1,ERI,Okubay TSEGAY,Qualified by Entry Standard,2:05:20 - Berlin (GER) - 24 SEP 2023
,14,ETH,Lemi DUMECHA,Qualified by Entry Standard,2:05:20 - Dubai (UAE) - 07 JAN 2024
,15,ETH,Mohamed ESA,Qualified by Entry Standard,2:05:22 - Tokyo (JPN) - 05 MAR 2023
,16,ETH,Mekuant AYENEW,Qualified by Entry Standard,2:05:24 - Sevilla (ESP) - 19 FEB 2023
,17,ETH,Tsegaye GETACHEW,Qualified by Entry Standard,2:05:25 - Tokyo (JPN) - 05 MAR 2023
,18,ETH,Amedework WALELEGN,Qualified by Entry Standard,2:05:27 - Seoul (KOR) - 19 MAR 2023
,19,ETH,Milkesa MENGESHA,Qualified by Entry Standard,2:05:29 - Valencia (ESP) - 04 DEC 2022
,20,ETH,Seifu TURA,Qualified by Entry Standard,"2:05:29 - Chicago, IL (USA) - 08 OCT 2023"
,20,KEN,Titus KIPRUTO,Qualified by Entry Standard,2:05:32 - Tokyo (JPN) - 05 MAR 2023
16,1,NED,Abdi NAGEEYE,Qualified by Entry Standard,2:05:32 - Rotterdam (NED) - 16 APR 2023
,21,KEN,Philimon Kiptoo KIPCHUMBA,Qualified by Entry Standard,2:05:35 - Shanghai (CHN) - 26 NOV 2023
17,1,CAN,Cameron LEVINS,Qualified by Entry Standard,2:05:36 - Tokyo (JPN) - 05 MAR 2023
,21,ETH,Tadu ABATE,Qualified by Entry Standard,2:05:38 - Tokyo (JPN) - 05 MAR 2023
18,2,TAN,Alphonce Felix SIMBU,Qualified by Entry Standard,2:05:39 - Shanghai (CHN) - 26 NOV 2023
,22,ETH,Shifera TAMRU,Qualified by Entry Standard,2:05:41 - Seoul (KOR) - 19 MAR 2023
,23,ETH,Abdisa TOLA,Qualified by Entry Standard,2:05:42 - Dubai (UAE) - 12 FEB 2023
,22,KEN,Josphat BOIT,Qualified by Entry Standard,2:05:42 - Berlin (GER) - 24 SEP 2023
,23,KEN,Solomon Kirwa YEGO,Qualified by Entry Standard,2:05:42 - Shanghai (CHN) - 26 NOV 2023
19,2,FRA,Mehdi FRÈRE,Qualified by Entry Standard,2:05:43 - Valencia (ESP) - 03 DEC 2023
,25,ETH,Hailemaryam KIROS,Qualified by Entry Standard,2:05:43 - Tokyo (JPN) - 03 MAR 2024
,26,ETH,Leul GEBRESILASE,Qualified by Entry Standard,2:05:45 - London (GBR) - 23 APR 2023
,24,KEN,Enock ONCHARI,Qualified by Entry Standard,2:05:47 - Sevilla (ESP) - 19 FEB 2023
,27,ETH,Hayle LEMI,Qualified by Entry Standard,2:05:48 - Amsterdam (NED) - 15 OCT 2023
20,1,ESP,Tariku NOVALES,Qualified by Entry Standard,2:05:48 - Valencia (ESP) - 03 DEC 2023
21,1,JPN,Ichitaka YAMASHITA,Qualified by Entry Standard,2:05:51 - Tokyo (JPN) - 05 MAR 2023
22,2,ERI,Oqbe Kibrom RUESOM,Qualified by Entry Standard,2:05:51 - Barcelona (ESP) - 19 MAR 2023
,28,ETH,Derseh KINDIE,Qualified by Entry Standard,2:05:51 - Valencia (ESP) - 03 DEC 2023
23,2,ISR,Girmaw AMARE,Qualified by Entry Standard,2:05:52 - Valencia (ESP) - 03 DEC 2023
,25,KEN,Kenneth KETER,Qualified by Entry Standard,2:05:53 - Shanghai (CHN) - 26 NOV 2023
24,3,FRA,Nicolas NAVARRO,Qualified by Entry Standard,2:05:53 - Valencia (ESP) - 03 DEC 2023
,29,ETH,Haymanot ALEW,Qualified by Entry Standard,2:05:57 - Dubai (UAE) - 12 FEB 2023
,26,KEN,Justus KANGOGO,Qualified by Entry Standard,2:05:57 - Berlin (GER) - 24 SEP 2023
25,2,JPN,Kenya SONOTA,Qualified by Entry Standard,2:05:59 - Tokyo (JPN) - 05 MAR 2023
26,1,UGA,Victor KIPLANGAT,Qualified by Entry Standard,2:06:03 - Osaka (JPN) - 26 FEB 2023
27,3,ISR,Haimro ALAME,Qualified by Entry Standard,2:06:04 - Valencia (ESP) - 03 DEC 2023
28,1,ITA,Yemaneberhan CRIPPA,Qualified by Entry Standard,2:06:06 - Sevilla (ESP) - 18 FEB 2024
,30,ETH,Mulugeta Asefa UMA,Qualified by Entry Standard,2:06:07 - Sevilla (ESP) - 19 FEB 2023
,31,ETH,Gebretsadik ABRAHA,Qualified by Entry Standard,2:06:08 - Dubai (UAE) - 12 FEB 2023
29,3,ERI,Goitom KIFLE,Qualified by Entry Standard,2:06:09 - Valencia (ESP) - 04 DEC 2022
,32,ETH,Chala REGASA,Qualified by Entry Standard,2:06:11 - Rotterdam (NED) - 16 APR 2023
,27,KEN,Cyrus MUTAI,Qualified by Entry Standard,2:06:11 - Eindhoven (NED) - 08 OCT 2023
,33,ETH,Tafese DELELEGN,Qualified by Entry Standard,2:06:11 - Sevilla (ESP) - 18 FEB 2024
30,3,JPN,Suguru OSAKO,Qualified by Entry Standard,2:06:13 - Tokyo (JPN) - 05 MAR 2023
,28,KEN,Martin KIPRUGUT KOSGEY,Qualified by Entry Standard,2:06:18 - Hamburg (GER) - 23 APR 2023
