year,full_name,gender,age,finish_time,finish_time_seconds,previous_time,progression_percentage,vitesse_finish_time,formatted_date_marathon,noc,pos,marathon_city_loc,rank_actual,score_total,half_marathon,QP,time_qualif,time_qualif_seconds,vitesse_qualif,formatted_date_qualif,Height,Weight,Sponsor,Followers,Year_inauguration,Estimated_Spectators,Denivele_positif,Denivele_negatif,Month_of_Race,Nb_participant_moy,Season,predict_time,predict_time_hour,ranking
2023,Eliud KIPCHOGE,M,40,02:04:05,7406.416666666667,7530.0,-0.0075,20.417484388970006,29/09/2013,KEN,2,Berlin,2,1488,0.0,3,02:02:42,7362.0,20.537897310513447,24/09/2023,167.0,52.0,1,2600000.0,2024,330000,436,438,Aout,88,Summer,7321.558476730996,2:02:02,1
2023,Sisay LEMMA,M,34,02:10:45,7538.5,7516.0,-8.673617379884035e-19,20.06540577255552,24/04/2016,ETH,7,London,10,1369,0.0,1,02:01:48,7308.0,20.689655172413794,03/12/2023,175.0,67.0,1,56542.3870967742,2024,330000,436,438,Aout,88,Summer,7360.265316075082,2:02:41,2
2020,Benson KIPRUTO,M,33,02:06:42,7602.0,7513.0,0.01,19.889502762430936,04/10/2020,KEN,7,London,3,1408,0.0,2,02:02:16,7336.0,20.610687022900763,03/03/2024,173.0,57.0,1,2449.0,2024,330000,436,438,Aout,88,Summer,7391.697457710692,2:03:12,3
2023,Shokhrukh DAVLYATOV,M,28,02:07:02,7622.0,8269.0,-0.08,19.837313041196538,03/12/2023,UZB,18,Valencia,504,1129,1.0,39,02:07:02,7622.0,19.837313041196538,03/12/2023,168.8846153846154,53.310810810810814,1,56542.3870967742,2024,330000,436,438,Aout,88,Summer,7417.020490749386,2:03:38,4
2023,Gabriel Gerald GEAY,M,28,02:06:10,7474.333333333333,7495.0,-0.0066666666666666,20.231407672123947,05/12/2021,TAN,8,Valencia,9,1373,0.0,5,02:03:00,7380.0,20.48780487804878,04/12/2022,159.0,55.0,1,41300.0,2024,330000,436,438,Aout,88,Summer,7493.484232608596,2:04:54,5
2022,Bashir ABDI,M,35,02:07:03,7543.666666666667,7846.0,-0.0166666666666666,20.044459743119543,28/04/2019,BEL,7,London,14,1361,0.0,7,02:03:47,7427.0,20.358152686145147,16/04/2023,178.0,56.0,1,63900.0,2024,330000,436,438,Aout,88,Summer,7500.296872346887,2:05:01,6
2023,Yago ROJO,M,29,02:09:56,7733.0,8525.233644859813,-0.03,19.55347583413242,06/12/2020,ESP,29,Valencia,429,1146,1.0,59,02:07:47,7667.0,19.72088170079562,03/12/2023,168.8846153846154,53.310810810810814,1,18200.0,2024,330000,436,438,Aout,88,Summer,7509.1156813271355,2:05:10,7
2024,Morhad AMDOUNI,M,36,02:09:14,7656.6,8525.233644859813,-0.0175,19.759480370957263,14/04/2019,FRA,8,Paris,73,1256,0.0,8,02:03:47,7427.0,20.358152686145147,18/02/2024,175.0,60.0,1,18000.0,2024,330000,436,438,Aout,88,Summer,7537.61118806938,2:05:38,8
2024,Suldan HASSAN,M,26,02:07:36,7656.0,8525.233644859813,-0.02522506901311248,19.74921630094044,18/02/2024,SWE,9,Sevilla,381,1155,1.0,51,02:07:36,7656.0,19.74921630094044,18/02/2024,170.0,56.0,1,5814.0,2024,330000,436,438,Aout,88,Summer,7538.264217969853,2:05:39,9
2023,Tadese TAKELE,M,22,02:03:24,7404.0,8525.233644859813,-0.02522506901311248,20.421393841166935,24/09/2023,ETH,3,Berlin,49,1285,1.0,6,02:03:24,7404.0,20.421393841166935,24/09/2023,168.8846153846154,53.310810810810814,1,56542.3870967742,2024,330000,436,438,Aout,88,Summer,7539.38595825538,2:05:40,10
2023,Cameron LEVINS,M,35,02:05:36,7536.0,7629.0,-0.01,20.063694267515924,05/03/2023,CAN,5,Tokyo,84,1246,1.0,17,02:05:36,7536.0,20.063694267515924,05/03/2023,178.0,65.0,1,15500.0,2024,330000,436,438,Aout,88,Summer,7556.831013359885,2:05:57,11
2022,Kaan Kigen ÖZBILEN,M,38,02:10:59,7636.6,7962.0,8.673617379884035e-19,19.807336843800535,06/04/2014,KEN,7,Paris,37,1310,0.0,9,02:04:36,7476.0,20.224719101123597,04/12/2022,178.0,57.0,1,3274.0,2024,330000,436,438,Aout,88,Summer,7558.629527533222,2:05:59,12
2023,Tadesse ABRAHAM,M,42,02:09:24,7637.0,7846.0,-0.01,19.80382673694219,26/09/2010,ERI,7,Berlin,76,1253,0.0,13,02:05:10,7510.0,20.133155792276963,24/09/2023,178.0,61.0,1,45000.0,2024,330000,436,438,Aout,88,Summer,7579.288176580371,2:06:20,13
2024,Okubay TSEGAY,M,38,02:09:56,7815.666666666667,7961.0,0.0066666666666666,19.36820683216232,16/09/2018,ERI,7,Berlin,150,1216,0.0,15,02:05:20,7520.0,20.106382978723403,24/09/2023,168.8846153846154,53.310810810810814,1,56542.3870967742,2024,330000,436,438,Aout,88,Summer,7604.7436540456865,2:06:45,14
2023,Girmaw AMARE,M,37,02:12:37,7694.4,8131.0,-0.028,19.656779401429404,02/12/2018,ISR,15,Valencia,155,1214,0.0,23,02:05:52,7552.0,20.021186440677965,03/12/2023,172.0,60.0,1,1200.0,2024,330000,436,438,Aout,88,Summer,7604.955515127036,2:06:45,15
2020,Oqbe Kibrom RUESOM,M,26,02:05:53,7553.0,7783.0,-0.03,20.01853568118629,06/12/2020,ERI,11,Valencia,175,1208,1.0,22,02:05:51,7551.0,20.0238379022646,19/03/2023,168.8846153846154,53.310810810810814,1,56542.3870967742,2024,330000,436,438,Aout,88,Summer,7606.080643965475,2:06:47,16
2022,Zerei Kbrom MEZNGI,M,38,02:07:10,7630.0,8525.233644859813,-0.02522506901311248,19.81651376146789,04/12/2022,NOR,14,Valencia,208,1197,1.0,44,02:07:10,7630.0,19.81651376146789,04/12/2022,168.8846153846154,53.310810810810814,1,3331.0,2024,330000,436,438,Aout,88,Summer,7607.120343533752,2:06:48,17
2023,Mehdi FRÈRE,M,28,02:14:25,7793.0,8525.233644859813,-0.02,19.411335416374538,01/12/2019,FRA,38,Valencia,132,1224,0.0,19,02:05:43,7543.0,20.0450749038844,03/12/2023,180.0,66.0,1,19500.0,2024,330000,436,438,Aout,88,Summer,7616.7486336252005,2:06:57,18
2024,Gashau AYALE,M,28,02:09:30,7585.5,8525.233644859813,-0.0166666666666666,19.936770844167672,05/12/2021,ISR,21,Valencia,60,1271,0.0,10,02:04:53,7493.0,20.178833578006145,18/02/2024,172.0,61.0,1,56542.3870967742,2024,330000,436,438,Aout,88,Summer,7618.46080873438,2:06:59,19
2023,Amanal PETROS,M,29,02:10:29,7638.0,8525.233644859813,-0.0366666666666666,19.800693112762247,01/12/2019,GER,19,Valencia,71,1257,0.0,11,02:04:58,7498.0,20.165377433982396,24/09/2023,181.0,61.0,1,95600.0,2024,330000,436,438,Aout,88,Summer,7618.930310373686,2:06:59,20
2023,Alberto GONZALEZ MINDEZ,M,28,02:07:40,7660.0,8525.233644859813,-0.02522506901311248,19.738903394255875,03/12/2023,GUA,25,Valencia,283,1173,1.0,55,02:07:40,7660.0,19.738903394255875,03/12/2023,168.8846153846154,53.310810810810814,1,2049.0,2024,330000,436,438,Aout,88,Summer,7623.630633378703,2:07:04,21
2022,Sondre Nordstad MOEN,M,33,02:06:16,7721.666666666667,7548.0,-0.01,19.585392185898108,01/12/2019,NOR,7,Valencia,147,1217,1.0,47,02:07:16,7636.0,19.800942902042955,03/12/2023,178.0,62.0,1,27100.0,2024,330000,436,438,Aout,88,Summer,7632.018887673539,2:07:13,22
2023,Haimro ALAME,M,34,02:11:03,7692.4,8116.0,-0.05,19.658840263158016,01/12/2019,ISR,23,Valencia,167,1210,0.0,27,02:06:04,7564.0,19.98942358540455,03/12/2023,175.0,55.0,1,1375.0,2024,330000,436,438,Aout,88,Summer,7637.886770760951,2:07:18,23
2023,Alphonce Felix SIMBU,M,32,02:09:10,7664.5,7772.0,-0.025,19.729769439325132,23/04/2017,TAN,5,London,33,1317,0.0,18,02:05:39,7539.0,20.055710306406684,26/11/2023,170.0,55.0,1,8741.0,2024,330000,436,438,Aout,88,Summer,7643.756683594267,2:07:24,24
2024,Rory LINKLETTER,M,28,02:08:01,7681.0,7936.0,-0.03,19.684936857180055,18/02/2024,CAN,13,Sevilla,290,1172,0.0,61,02:08:01,7681.0,19.684936857180055,18/02/2024,180.0,63.0,1,12300.0,2024,330000,436,438,Aout,88,Summer,7648.204873547717,2:07:29,25
2020,Abdi NAGEEYE,M,35,02:07:09,7629.0,7659.0,0.0,19.819111285882816,06/12/2020,NED,15,Valencia,58,1276,0.0,16,02:05:32,7532.0,20.07434944237918,16/04/2023,165.0,54.0,1,77700.0,2024,330000,436,438,Aout,88,Summer,7652.291727168514,2:07:33,26
