year,full_name,gender,age,finish_time,finish_time_seconds,previous_time,progression_percentage,vitesse_finish_time,formatted_date_marathon,noc,pos,marathon_city_loc,rank_actual,score_total,half_marathon,QP,time_qualif,time_qualif_seconds,vitesse_qualif,formatted_date_qualif,Height,Weight,Sponsor,Followers,Height_1,Weight_1,Sponsor_1,Followers_1,Year_inauguration,Estimated_Spectators,Denivele_positif,Denivele_negatif,Month_of_Race,Nb_participant_moy,Season
2013,Eliud KIPCHOGE,M,40,02:04:05,7445,7530,-0.01,20.308932169241103,29/09/2013,KEN,2,Berlin,2,1488,0,3,02:02:42,7362,20.537897310513447,24/09/2023,167,52,,2600000,167,52,,2600000,2024,330000,436,438,Aout,88,Summer
2015,Eliud KIPCHOGE,M,40,02:04:42,7482,7451,0.0,20.208500400962311,26/04/2015,KEN,1,London,2,1488,0,3,02:02:42,7362,20.537897310513447,24/09/2023,167,52,,2600000,167,52,,2600000,2024,330000,436,438,Aout,88,Summer
2015,Eliud KIPCHOGE,M,40,02:04:00,7440,7482,-0.01,20.322580645161288,27/09/2015,KEN,1,Berlin,2,1488,0,3,02:02:42,7362,20.537897310513447,24/09/2023,167,52,,2600000,167,52,,2600000,2024,330000,436,438,Aout,88,Summer
2016,Eliud KIPCHOGE,M,40,02:03:05,7385,7440,-0.01,20.473933649289098,24/04/2016,KEN,1,London,2,1488,0,3,02:02:42,7362,20.537897310513447,24/09/2023,167,52,,2600000,167,52,,2600000,2024,330000,436,438,Aout,88,Summer
2017,Eliud KIPCHOGE,M,40,02:03:32,7412,7724,-0.04,20.399352401511063,24/09/2017,KEN,1,Berlin,2,1488,0,3,02:02:42,7362,20.537897310513447,24/09/2023,167,52,,2600000,167,52,,2600000,2024,330000,436,438,Aout,88,Summer
2018,Eliud KIPCHOGE,M,40,02:04:17,7457,7412,0.01,20.276250502883197,22/04/2018,KEN,1,London,2,1488,0,3,02:02:42,7362,20.537897310513447,24/09/2023,167,52,,2600000,167,52,,2600000,2024,330000,436,438,Aout,88,Summer
2018,Eliud KIPCHOGE,M,40,02:01:39,7299,7457,-0.02,20.715166461159065,16/09/2018,KEN,1,Berlin,2,1488,0,3,02:02:42,7362,20.537897310513447,24/09/2023,167,52,,2600000,167,52,,2600000,2024,330000,436,438,Aout,88,Summer
2019,Eliud KIPCHOGE,M,40,02:02:37,7357,7299,0.01,20.551855375832538,28/04/2019,KEN,1,London,2,1488,0,3,02:02:42,7362,20.537897310513447,24/09/2023,167,52,,2600000,167,52,,2600000,2024,330000,436,438,Aout,88,Summer
2020,Eliud KIPCHOGE,M,40,02:06:49,7609,7357,0.03,19.871205151793927,04/10/2020,KEN,8,London,2,1488,0,3,02:02:42,7362,20.537897310513447,24/09/2023,167,52,,2600000,167,52,,2600000,2024,330000,436,438,Aout,88,Summer
2022,Eliud KIPCHOGE,M,40,02:02:40,7360,7718,-0.05,20.543478260869566,06/03/2022,KEN,1,Tokyo,2,1488,0,3,02:02:42,7362,20.537897310513447,24/09/2023,167,52,,2600000,167,52,,2600000,2024,330000,436,438,Aout,88,Summer
2022,Eliud KIPCHOGE,M,40,02:01:09,7269,7360,-0.01,20.800660338423445,25/09/2022,KEN,1,Berlin,2,1488,0,3,02:02:42,7362,20.537897310513447,24/09/2023,167,52,,2600000,167,52,,2600000,2024,330000,436,438,Aout,88,Summer
2023,Eliud KIPCHOGE,M,40,02:02:42,7362,7269,0.01,20.537897310513447,24/09/2023,KEN,1,Berlin,2,1488,0,3,02:02:42,7362,20.537897310513447,24/09/2023,167,52,,2600000,167,52,,2600000,2024,330000,436,438,Aout,88,Summer
2020,Benson KIPRUTO,M,33,02:06:42,7602,7513,0.01,19.889502762430936,04/10/2020,KEN,7,London,3,1408,0,2,02:02:16,7336,20.610687022900763,03/03/2024,173,57,,2449,173,57,,2449,2024,330000,436,438,Aout,88,Summer
2023,Victor KIPLANGAT,M,25,02:06:03,7563,7855,-0.04,19.992066640222131,26/02/2023,UGA,2,Osaka,8,1373,0,26,02:06:03,7563,19.992066640222131,26/02/2023,,,,,,,,,2024,330000,436,438,Aout,88,Summer
2021,Gabriel Gerald GEAY,M,28,02:06:10,7570,7495,0.01,19.973579920739763,05/12/2021,TAN,8,Valencia,9,1373,0,5,02:03:00,7380,20.487804878048781,04/12/2022,159,55,,41300,159,55,,41300,2024,330000,436,438,Aout,88,Summer
2022,Gabriel Gerald GEAY,M,28,02:03:00,7380,7651,-0.04,20.487804878048781,04/12/2022,TAN,2,Valencia,9,1373,0,5,02:03:00,7380,20.487804878048781,04/12/2022,159,55,,41300,159,55,,41300,2024,330000,436,438,Aout,88,Summer
2023,Gabriel Gerald GEAY,M,28,02:04:33,7473,7380,0.01,20.2328382175833,03/12/2023,TAN,5,Valencia,9,1373,0,5,02:03:00,7380,20.487804878048781,04/12/2022,159,55,,41300,159,55,,41300,2024,330000,436,438,Aout,88,Summer
2016,Sisay LEMMA,M,34,02:10:45,7845,7516,0.04,19.273422562141491,24/04/2016,ETH,7,London,10,1369,0,1,02:01:48,7308,20.689655172413794,03/12/2023,175,67,,,175,67,,,2024,330000,436,438,Aout,88,Summer
2016,Sisay LEMMA,M,34,02:06:56,7616,7845,-0.03,19.852941176470591,25/09/2016,ETH,4,Berlin,10,1369,0,1,02:01:48,7308,20.689655172413794,03/12/2023,175,67,,,175,67,,,2024,330000,436,438,Aout,88,Summer
2019,Sisay LEMMA,M,34,02:03:36,7416,7498,-0.01,20.388349514563107,29/09/2019,ETH,3,Berlin,10,1369,0,1,02:01:48,7308,20.689655172413794,03/12/2023,175,67,,,175,67,,,2024,330000,436,438,Aout,88,Summer
2020,Sisay LEMMA,M,34,02:04:51,7491,7416,0.01,20.184221065278333,01/03/2020,ETH,3,Tokyo,10,1369,0,1,02:01:48,7308,20.689655172413794,03/12/2023,175,67,,,175,67,,,2024,330000,436,438,Aout,88,Summer
2020,Sisay LEMMA,M,34,02:05:45,7545,7491,0.01,20.039761431411531,04/10/2020,ETH,3,London,10,1369,0,1,02:01:48,7308,20.689655172413794,03/12/2023,175,67,,,175,67,,,2024,330000,436,438,Aout,88,Summer
2021,Sisay LEMMA,M,34,02:04:01,7441,7545,-0.01,20.319849482596428,03/10/2021,ETH,1,London,10,1369,0,1,02:01:48,7308,20.689655172413794,03/12/2023,175,67,,,175,67,,,2024,330000,436,438,Aout,88,Summer
2022,Sisay LEMMA,M,34,02:07:26,7646,7441,0.03,19.775045775568927,02/10/2022,ETH,7,London,10,1369,0,1,02:01:48,7308,20.689655172413794,03/12/2023,175,67,,,175,67,,,2024,330000,436,438,Aout,88,Summer
2023,Sisay LEMMA,M,34,02:01:48,7308,7586,-0.04,20.689655172413794,03/12/2023,ETH,1,Valencia,10,1369,0,1,02:01:48,7308,20.689655172413794,03/12/2023,175,67,,,175,67,,,2024,330000,436,438,Aout,88,Summer
2019,Bashir ABDI,M,35,02:07:03,7623,7846,-0.03,19.834710743801651,28/04/2019,BEL,7,London,14,1361,0,7,02:03:47,7427,20.358152686145147,16/04/2023,178,56,,63900,178,56,,63900,2024,330000,436,438,Aout,88,Summer
2020,Bashir ABDI,M,35,02:04:49,7489,7574,-0.01,20.189611430097475,01/03/2020,BEL,2,Tokyo,14,1361,0,7,02:03:47,7427,20.358152686145147,16/04/2023,178,56,,63900,178,56,,63900,2024,330000,436,438,Aout,88,Summer
2022,Bashir ABDI,M,35,02:05:19,7519,7608,-0.01,20.109057055459502,02/10/2022,BEL,3,London,14,1361,0,7,02:03:47,7427,20.358152686145147,16/04/2023,178,56,,63900,178,56,,63900,2024,330000,436,438,Aout,88,Summer
2017,Alphonce Felix SIMBU,M,32,02:09:10,7750,7772,0.0,19.509677419354841,23/04/2017,TAN,5,London,33,1317,0,18,02:05:39,7539,20.055710306406684,26/11/2023,170,55,,8741,170,55,,8741,2024,330000,436,438,Aout,88,Summer
2023,Alphonce Felix SIMBU,M,32,02:06:19,7579,7949,-0.05,19.94986145929542,26/02/2023,TAN,3,Osaka,33,1317,0,18,02:05:39,7539,20.055710306406684,26/11/2023,170,55,,8741,170,55,,8741,2024,330000,436,438,Aout,88,Summer
2014,Kaan Kigen ÖZBILEN,M,38,02:10:59,7859,7962,-0.01,19.239088942613563,06/04/2014,KEN,7,Paris,37,1310,0,9,02:04:36,7476,20.224719101123597,04/12/2022,178,57,,3274,178,57,,3274,2024,330000,436,438,Aout,88,Summer
2015,Kaan Kigen ÖZBILEN,M,38,02:07:42,7662,7619,0.01,19.733750978856694,12/04/2015,KEN,4,Paris,37,1310,0,9,02:04:36,7476,20.224719101123597,04/12/2022,178,57,,3274,178,57,,3274,2024,330000,436,438,Aout,88,Summer
2019,Kaan Kigen ÖZBILEN,M,38,02:04:16,7456,7527,-0.01,20.278969957081546,01/12/2019,TUR,2,Valencia,37,1310,0,9,02:04:36,7476,20.224719101123597,04/12/2022,178,57,,3274,178,57,,3274,2024,330000,436,438,Aout,88,Summer
2020,Kaan Kigen ÖZBILEN,M,38,02:08:50,7730,7456,0.04,19.560155239327297,06/12/2020,TUR,19,Valencia,37,1310,0,9,02:04:36,7476,20.224719101123597,04/12/2022,178,57,,3274,178,57,,3274,2024,330000,436,438,Aout,88,Summer
2022,Kaan Kigen ÖZBILEN,M,38,02:04:36,7476,7730,-0.03,20.224719101123597,04/12/2022,TUR,5,Valencia,37,1310,0,9,02:04:36,7476,20.224719101123597,04/12/2022,178,57,,3274,178,57,,3274,2024,330000,436,438,Aout,88,Summer
2023,Stephen KISSA,M,36,02:07:16,7636,7996,-0.05,19.800942902042955,05/03/2023,UGA,11,Tokyo,42,1300,0,31,02:06:22,7582,19.94196781851754,25/02/2024,,,,,,,,,2024,330000,436,438,Aout,88,Summer
2024,Stephen KISSA,M,36,02:06:22,7582,7822,-0.03,19.94196781851754,25/02/2024,UGA,2,Osaka,42,1300,0,31,02:06:22,7582,19.94196781851754,25/02/2024,,,,,,,,,2024,330000,436,438,Aout,88,Summer
2023,Tadese TAKELE,M,22,02:03:24,7404,,,20.421393841166935,24/09/2023,ETH,3,Berlin,49,1285,1,6,02:03:24,7404,20.421393841166935,24/09/2023,,,,,,,,,2024,330000,436,438,Aout,88,Summer
2022,Kenya SONOTA,M,31,02:07:23,7643,7691,-0.01,19.782807797985082,06/03/2022,JPN,7,Tokyo,56,1277,0,25,02:05:59,7559,20.00264585262601,05/03/2023,,,,,,,,,2024,330000,436,438,Aout,88,Summer
2022,Kenya SONOTA,M,31,02:07:14,7634,7643,0.0,19.806130468954674,25/09/2022,JPN,7,Berlin,56,1277,0,25,02:05:59,7559,20.00264585262601,05/03/2023,,,,,,,,,2024,330000,436,438,Aout,88,Summer
2023,Kenya SONOTA,M,31,02:05:59,7559,7634,-0.01,20.00264585262601,05/03/2023,JPN,8,Tokyo,56,1277,0,25,02:05:59,7559,20.00264585262601,05/03/2023,,,,,,,,,2024,330000,436,438,Aout,88,Summer
2020,Abdi NAGEEYE,M,35,02:07:09,7629,7659,0.0,19.819111285882816,06/12/2020,NED,15,Valencia,58,1276,0,16,02:05:32,7532,20.07434944237918,16/04/2023,165,54,,77700,165,54,,77700,2024,330000,436,438,Aout,88,Summer
