year,full_name,gender,age,finish_time,finish_time_seconds,previous_time,progression_percentage,vitesse_finish_time,formatted_date_marathon,noc,pos,marathon_city_loc,rank_actual,score_total,half_marathon,QP,time_qualif,time_qualif_seconds,vitesse_qualif,formatted_date_qualif,Height,Weight,Sponsor,Followers,Year_inauguration,Estimated_Spectators,Denivele_positif,Denivele_negatif,Month_of_Race,Nb_participant_moy,Season
2023,Eliud KIPCHOGE,M,40,02:04:05,7406.416666666667,7530,-0.0075000000000000015,20.417484388970006,29/09/2013,KEN,2,Berlin,2,1488,0.0,3,02:02:42,7362.0,20.537897310513447,24/09/2023,167.0,52.0,,2600000.0,2024,330000,436,438,Aout,88,Summer
2020,Benson KIPRUTO,M,33,02:06:42,7602.0,7513,0.01,19.889502762430936,04/10/2020,KEN,7,London,3,1408,0.0,2,02:02:16,7336.0,20.610687022900763,03/03/2024,173.0,57.0,,2449.0,2024,330000,436,438,Aout,88,Summer
2023,Victor KIPLANGAT,M,25,02:06:03,7563.0,7855,-0.04,19.992066640222131,26/02/2023,UGA,2,Osaka,8,1373,0.0,26,02:06:03,7563.0,19.992066640222131,26/02/2023,,,,,2024,330000,436,438,Aout,88,Summer
2023,Gabriel Gerald GEAY,M,28,02:06:10,7474.333333333333,7495,-0.006666666666666668,20.231407672123947,05/12/2021,TAN,8,Valencia,9,1373,0.0,5,02:03:00,7380.0,20.487804878048781,04/12/2022,159.0,55.0,,41300.0,2024,330000,436,438,Aout,88,Summer
2023,Sisay LEMMA,M,34,02:10:45,7538.5,7516,-8.6736173798840355e-19,20.065405772555522,24/04/2016,ETH,7,London,10,1369,0.0,1,02:01:48,7308.0,20.689655172413794,03/12/2023,175.0,67.0,,,2024,330000,436,438,Aout,88,Summer
2022,Bashir ABDI,M,35,02:07:03,7543.666666666667,7846,-0.016666666666666666,20.044459743119543,28/04/2019,BEL,7,London,14,1361,0.0,7,02:03:47,7427.0,20.358152686145147,16/04/2023,178.0,56.0,,63900.0,2024,330000,436,438,Aout,88,Summer
2023,Alphonce Felix SIMBU,M,32,02:09:10,7664.5,7772,-0.025,19.729769439325132,23/04/2017,TAN,5,London,33,1317,0.0,18,02:05:39,7539.0,20.055710306406684,26/11/2023,170.0,55.0,,8741.0,2024,330000,436,438,Aout,88,Summer
2022,Kaan Kigen ÖZBILEN,M,38,02:10:59,7636.6,7962,8.6736173798840355e-19,19.807336843800538,06/04/2014,KEN,7,Paris,37,1310,0.0,9,02:04:36,7476.0,20.224719101123597,04/12/2022,178.0,57.0,,3274.0,2024,330000,436,438,Aout,88,Summer
2024,Stephen KISSA,M,36,02:07:16,7609.0,7996,-0.04,19.871455360280248,05/03/2023,UGA,11,Tokyo,42,1300,0.0,31,02:06:22,7582.0,19.94196781851754,25/02/2024,,,,,2024,330000,436,438,Aout,88,Summer
2023,Tadese TAKELE,M,22,02:03:24,7404.0,,,20.421393841166935,24/09/2023,ETH,3,Berlin,49,1285,1.0,6,02:03:24,7404.0,20.421393841166935,24/09/2023,,,,,2024,330000,436,438,Aout,88,Summer
