year,full_name,gender,age,finish_time,finish_time_seconds,previous_time,progression_percentage,vitesse_finish_time,formatted_date_marathon,noc,pos,marathon_city_loc,rank_actual,score_total,half_marathon,QP,time_qualif,time_qualif_seconds,vitesse_qualif,formatted_date_qualif,Height,Weight,Sponsor,Followers,Year_inauguration,Estimated_Spectators,Denivele_positif,Denivele_negatif,Month_of_Race,Nb_participant_moy,Season,predict_time,predict_time_hour,ranking
2023,Tigst ASSEFA,F,28,02:15:37,8025.0,9241.0,-0.075,18.844792097469096,25/09/2022,ETH,1,Berlin,1,1488,0.0,1,02:11:53,7913.0,19.107797295589535,24/09/2023,168.0,53.0,1,33500.0,2024,330000,436,438,Aout,88,Summer,7862.1266441042535,2:11:03,1
2023,Sifan HASSAN,F,31,02:18:33,8313.0,8525.233644859813,-0.02522506901311248,18.188379646337065,23/04/2023,NED,1,London,3,1443,0.0,2,02:13:44,8024.0,18.843469591226324,08/10/2023,170.0,49.0,1,273000.0,2024,330000,436,438,Aout,88,Summer,8023.877225469962,2:13:44,2
2022,Amane Beriso SHANKULE,F,33,02:14:58,8098.0,8691.0,-0.07,18.671276858483576,04/12/2022,ETH,1,Valencia,2,1462,0.0,3,02:14:58,8098.0,18.671276858483576,04/12/2022,180.0,58.0,1,56542.3870967742,2024,330000,436,438,Aout,88,Summer,8031.4956075109085,2:13:52,3
2024,Isabel OROPEZA VAZQUEZ,F,34,02:27:57,8877.0,9005.0,-0.01,17.032781345049003,18/02/2024,MEX,24,Sevilla,342,1145,0.0,93,,8134.704,18.66698821056777,,168.8846153846154,53.310810810810814,1,56542.3870967742,2024,330000,436,438,Aout,88,Summer,8127.15028945459,2:15:28,4
2024,Solange JESUS,F,37,02:29:04,8896.333333333334,9201.0,-0.03,16.99608241916382,03/04/2022,POR,13,Paris,308,1153,0.0,91,,8134.704,18.66698821056777,,168.8846153846154,53.310810810810814,1,56542.3870967742,2024,330000,436,438,Aout,88,Summer,8140.915773900691,2:15:41,5
2020,Ruth CHEPNGETICH,F,30,02:22:59,8552.0,8556.0,-0.035,17.680251066592056,08/04/2018,KEN,2,Paris,4,1443,0.0,4,02:15:37,8137.0,18.581786899348657,08/10/2023,165.0,48.0,1,16900.0,2024,330000,436,438,Aout,88,Summer,8149.499181176024,2:15:50,6
2024,Amina BETTICHE,F,37,02:27:29,8849.0,9409.0,-0.06,17.086676460617017,18/02/2024,ALG,22,Sevilla,288,1157,0.0,85,,8134.704,18.66698821056777,,168.8846153846154,53.310810810810814,1,56542.3870967742,2024,330000,436,438,Aout,88,Summer,8156.975523071822,2:15:57,7
2023,Aleksandra BRZEZIŃSKA,F,33,02:28:09,8864.5,9404.0,-0.06,17.056929887923914,04/12/2022,POL,22,Valencia,298,1155,0.0,89,,8134.704,18.66698821056777,,168.8846153846154,53.310810810810814,1,56542.3870967742,2024,330000,436,438,Aout,88,Summer,8164.449613595509,2:16:05,8
2023,Alisa VAINIO,F,27,02:30:22,8934.0,10590.0,-0.08,16.925752323571295,20/02/2022,FIN,18,Sevilla,303,1154,0.0,90,,8134.704,18.66698821056777,,168.8846153846154,53.310810810810814,1,56542.3870967742,2024,330000,436,438,Aout,88,Summer,8183.8232744693505,2:16:24,9
2021,Nienke BRINKMAN,F,31,02:26:34,8794.0,8525.233644859813,-0.02522506901311248,17.193541050716398,05/12/2021,NED,13,Valencia,150,1205,1.0,83,,8134.704,18.66698821056777,,168.8846153846154,53.310810810810814,1,56542.3870967742,2024,330000,436,438,Aout,88,Summer,8210.5544290674,2:16:51,10
2022,Natasha WODAK,F,43,02:23:12,8592.0,9101.0,-0.06,17.59776536312849,25/09/2022,CAN,12,Berlin,170,1194,0.0,87,,8134.704,18.66698821056777,,168.8846153846154,53.310810810810814,1,56542.3870967742,2024,330000,436,438,Aout,88,Summer,8211.21341174297,2:16:52,11
2023,Worknesh DEGEFA,F,34,02:15:51,8151.0,8378.0,-0.03,18.54987118145013,03/12/2023,ETH,1,Valencia,33,1310,1.0,5,02:15:51,8151.0,18.54987118145013,03/12/2023,155.0,45.0,1,56542.3870967742,2024,330000,436,438,Aout,88,Summer,8226.178399835082,2:17:07,12
