date,AVG_PRICE,available,unavailable,Occupancy_rate,AVG_REVIEW_SCORE,neutral,promotor,detractor
2022-09-09,153.45,3,98,0.97,4.72,10,91,0
2022-09-10,157.98,16,484,0.97,4.67,67,432,1
2022-09-11,155.68,26,474,0.95,4.67,67,432,1
2022-09-12,155.84,30,470,0.94,4.67,67,432,1
2022-09-13,155.8,26,474,0.95,4.67,67,432,1
2022-09-14,156.08,29,471,0.94,4.67,67,432,1
2022-09-15,158.16,30,470,0.94,4.67,67,432,1
2022-09-16,160.39,33,467,0.93,4.67,67,432,1
2022-09-17,160.57,36,464,0.93,4.67,67,432,1
2022-09-18,158.27,40,460,0.92,4.67,67,432,1
2022-09-19,158.11,39,461,0.92,4.67,67,432,1
2022-09-20,158.18,40,460,0.92,4.67,67,432,1
2022-09-21,158.09,40,460,0.92,4.67,67,432,1
2022-09-22,158.15,34,466,0.93,4.67,67,432,1
2022-09-23,160.25,33,467,0.93,4.67,67,432,1
2022-09-24,161.62,37,463,0.93,4.67,67,432,1
2022-09-25,158.47,43,457,0.91,4.67,67,432,1
2022-09-26,158.33,39,461,0.92,4.67,67,432,1
2022-09-27,158.42,40,460,0.92,4.67,67,432,1
2022-09-28,158.39,39,461,0.92,4.67,67,432,1
2022-09-29,156.55,41,459,0.92,4.67,67,432,1
2022-09-30,158.85,38,462,0.92,4.67,67,432,1
2022-10-01,158.97,44,456,0.91,4.67,67,432,1
2022-10-02,156.24,47,453,0.91,4.67,67,432,1
2022-10-03,156.36,36,464,0.93,4.67,67,432,1
2022-10-04,156.4,37,463,0.93,4.67,67,432,1
2022-10-05,156.48,39,461,0.92,4.67,67,432,1
2022-10-06,156.45,50,450,0.9,4.67,67,432,1
2022-10-07,158.37,53,447,0.89,4.67,67,432,1
2022-10-08,160.45,53,447,0.89,4.67,67,432,1
2022-10-09,158.12,64,436,0.87,4.67,67,432,1
2022-10-10,158.09,66,434,0.87,4.67,67,432,1
2022-10-11,157.78,63,437,0.87,4.67,67,432,1
2022-10-12,158.41,62,438,0.88,4.67,67,432,1
2022-10-13,158.7,54,446,0.89,4.67,67,432,1
2022-10-14,161.09,46,454,0.91,4.67,67,432,1
2022-10-15,160.9,52,448,0.9,4.67,67,432,1
2022-10-16,158.61,64,436,0.87,4.67,67,432,1
2022-10-17,156.37,53,447,0.89,4.67,67,432,1
2022-10-18,156.39,58,442,0.88,4.67,67,432,1
2022-10-19,156.17,63,437,0.87,4.67,67,432,1
2022-10-20,156.59,70,430,0.86,4.67,67,432,1
2022-10-21,158.83,78,422,0.84,4.67,67,432,1
2022-10-22,159.23,75,425,0.85,4.67,67,432,1
2022-10-23,157.07,82,418,0.84,4.67,67,432,1
2022-10-24,157.18,88,412,0.82,4.67,67,432,1
2022-10-25,157.27,91,409,0.82,4.67,67,432,1
2022-10-26,157.37,98,402,0.8,4.67,67,432,1
2022-10-27,157.35,95,405,0.81,4.67,67,432,1
2022-10-28,159.33,97,403,0.81,4.67,67,432,1
2022-10-29,159.39,93,407,0.81,4.67,67,432,1
2022-10-30,157.18,105,395,0.79,4.67,67,432,1
2022-10-31,156.08,137,363,0.73,4.67,67,432,1
2022-11-01,155.19,127,373,0.75,4.67,67,432,1
2022-11-02,155.11,131,369,0.74,4.67,67,432,1
2022-11-03,155.16,125,375,0.75,4.67,67,432,1
2022-11-04,157.21,126,374,0.75,4.67,67,432,1
2022-11-05,157.29,137,363,0.73,4.67,67,432,1
2022-11-06,155.1,140,360,0.72,4.67,67,432,1
2022-11-07,154.76,132,368,0.74,4.67,67,432,1
2022-11-08,154.92,131,369,0.74,4.67,67,432,1
2022-11-09,154.9,129,371,0.74,4.67,67,432,1
2022-11-10,155.01,126,374,0.75,4.67,67,432,1
2022-11-11,157.35,124,376,0.75,4.67,67,432,1
2022-11-12,157.5,130,370,0.74,4.67,67,432,1
2022-11-13,155.16,135,365,0.73,4.67,67,432,1
2022-11-14,154.97,133,367,0.73,4.67,67,432,1
2022-11-15,154.93,143,357,0.71,4.67,67,432,1
2022-11-16,154.73,136,364,0.73,4.67,67,432,1
2022-11-17,154.66,134,366,0.73,4.67,67,432,1
2022-11-18,156.53,135,365,0.73,4.67,67,432,1
2022-11-19,156.47,131,369,0.74,4.67,67,432,1
2022-11-20,154.51,134,366,0.73,4.67,67,432,1
2022-11-21,154.72,135,365,0.73,4.67,67,432,1
2022-11-22,154.78,137,363,0.73,4.67,67,432,1
2022-11-23,154.7,133,367,0.73,4.67,67,432,1
2022-11-24,155.1,129,371,0.74,4.67,67,432,1
2022-11-25,157.09,131,369,0.74,4.67,67,432,1
2022-11-26,157.29,137,363,0.73,4.67,67,432,1
2022-11-27,155.04,142,358,0.72,4.67,67,432,1
2022-11-28,154.88,154,346,0.69,4.67,67,432,1
2022-11-29,154.86,159,341,0.68,4.67,67,432,1
2022-11-30,154.83,160,340,0.68,4.67,67,432,1
2022-12-01,155.76,158,342,0.68,4.67,67,432,1
2022-12-02,157.96,156,344,0.69,4.67,67,432,1
2022-12-03,157.99,163,337,0.67,4.67,67,432,1
2022-12-04,155.52,163,337,0.67,4.67,67,432,1
2022-12-05,155.41,163,337,0.67,4.67,67,432,1
