id,room_type,host_response_time,review_scores_value
130420,Entire home/apt,within a few hours,4.43
23441,Entire home/apt,within a day,4.64
5396,Entire home/apt,within an hour,4.54
7397,Entire home/apt,within an hour,4.72
24260,Entire home/apt,within a few hours,4.64
137112,Entire home/apt,within an hour,4.61
26562,Entire home/apt,within a day,4.98
137857,Entire home/apt,within an hour,4.55
138548,Entire home/apt,within a few hours,4.79
139074,Entire home/apt,within a day,4.85
139889,Entire home/apt,within a few hours,4.88
9952,Entire home/apt,within an hour,4.9
27288,Entire home/apt,within an hour,4.87
31435,Private room,within an hour,4.45
32082,Entire home/apt,within an hour,4.9
33114,Entire home/apt,within a few hours,4.74
148885,Entire home/apt,within an hour,4.42
33814,Entire home/apt,within a few hours,4.43
151020,Entire home/apt,within an hour,4.79
35065,Entire home/apt,within a few hours,4.63
10586,Entire home/apt,within a day,4.67
151935,Entire home/apt,within an hour,4.67
10588,Entire home/apt,within a day,4.67
153190,Entire home/apt,within a few hours,4.8
38303,Private room,within an hour,4.77
11213,Private room,within a few hours,4.55
153674,Entire home/apt,within an hour,4.5
11265,Entire home/apt,within a few hours,4.84
38650,Entire home/apt,within an hour,4.45
154292,Entire home/apt,within an hour,4.74
39651,Entire home/apt,within a day,4.83
39666,Entire home/apt,within a few hours,4.5
11487,Entire home/apt,within a few hours,4.4
11798,Entire home/apt,within a few hours,4.79
39948,Private room,within a day,4.81
40174,Entire home/apt,within a day,4.41
40899,Entire home/apt,within a few hours,4.72
41106,Entire home/apt,within an hour,4.64
163384,Private room,within a few hours,4.64
165409,Entire home/apt,within a few hours,4.75
167998,Entire home/apt,within a few hours,4.49
42348,Entire home/apt,within an hour,4.71
42507,Entire home/apt,within an hour,4.79
43355,Entire home/apt,within a day,3.43
43500,Entire home/apt,a few days or more,2.33
14757,Entire home/apt,within an hour,4.57
16455,Entire home/apt,within an hour,4.34
16626,Private room,within an hour,4.76
168652,Entire home/apt,within a day,4.61
17287,Entire home/apt,within an hour,4.93
44130,Entire home/apt,a few days or more,4.08
168695,Entire home/apt,within an hour,4.69
170327,Private room,a few days or more,4.67
171159,Entire home/apt,within an hour,4.41
47155,Entire home/apt,within a few hours,4.63
171658,Entire home/apt,within a day,5.0
48498,Entire home/apt,a few days or more,4.1
48584,Entire home/apt,a few days or more,4.37
175338,Entire home/apt,within a few hours,4.83
50738,Entire home/apt,within a day,4.51
19306,Entire home/apt,within an hour,4.75
20176,Entire home/apt,within a few hours,4.7
20823,Entire home/apt,within an hour,4.66
178188,Entire home/apt,within a few hours,4.77
21004,Entire home/apt,within a day,4.71
180627,Entire home/apt,a few days or more,4.26
21194,Entire home/apt,within an hour,4.57
54377,Private room,within a few hours,4.87
55071,Entire home/apt,within an hour,4.71
21419,Entire home/apt,within a few hours,4.63
22158,Private room,within an hour,4.81
